T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
yedi,fonzie,beaver,albert with a money sign,0,2,0
tangerine,tse,claw,kort,0,2,1
kage,axe,supahot,tfec,0,2,0
tonic,rarik,scale,ant,1,0,2
spiff,wind,notechskill,blueeco,0,2,0
yedi,fonzie,tangerine,tse,1,1,2
kage,axe,scale,ant,0,2,0
spiff,wind,tangerine,tse,0,2,0
kage,axe,spiff,wind,0,2,0
kage,axe,claw,kort,0,-2,-2
salt,idkidc,hoofarted,bok choy,1,-1,0
pt2,2%,melpyx,epic!,1,0,2
jibb,awsmsean,zigludo,novamatt,1,-1,0
beaver,albert with a money sign,claw,kort,1,0,2
yedi,fonzie,hoofarted,bok choy,0,2,0
notechskill,blueeco,melpyx,epic!,1,1,2
tonic,rarik,zigludo,novamatt,0,2,0
supahot,tfec,claw,kort,1,0,2
yedi,fonzie,melpyx,epic!,0,2,0
tonic,rarik,claw,kort,1,0,2
scale,ant,yedi,fonzie,1,1,2
tangerine,tse,claw,kort,1,0,2
yedi,fonzie,claw,kort,1,0,2
spiff,wind,claw,kort,1,0,2
kjh,sfat,wyzdm,beverage,0,2,0
dodge,rootbeerfloat,spirit,dutes,0,2,0
makari,gongfactor,ceeds,gbaby6,0,2,0
john ward,jnaut,wawa,metallic,1,0,2
mayb,ryobeat,mr.stitch,stdemon,0,0,-1
samurai ike,plow,dannyd,link2213,0,2,0
gso,thx,jeff chang,demm,0,2,0
vt stickman,connor,silent,saiyan,1,-2,-2
kjh,sfat,dodge,rootbeerfloat,0,2,0
makari,gongfactor,wawa,metallic,0,2,1
mayb,ryobeat,samurai ike,plow,0,2,0
gso,thx,silent,saiyan,0,2,0
kjh,sfat,makari,gongfactor,0,2,0
mayb,ryobeat,gso,thx,0,2,0
kjh,sfat,mayb,ryobeat,0,2,0
kjh,sfat,mayb,ryobeat,0,-2,-2
wyzdm,beverage,spirit,dutes,0,2,0
ceeds,gbaby6,john ward,jnaut,1,0,2
mr.stitch,stdemon,dannyd,link2213,1,-2,-2
jeff chang,demm,vt stickman,connor,1,-2,-2
silent,saiyan,wyzdm,beverage,0,2,0
samurai ike,plow,john ward,jnaut,0,2,1
wawa,metallic,dannyd,link2213,0,2,0
dodge,rootbeerfloat,vt stickman,connor,1,-2,-2
silent,saiyan,samurai ike,plow,1,0,2
wawa,metallic,vt stickman,connor,0,2,0
makari,gongfactor,samurai ike,plow,0,2,0
gso,thx,wawa,metallic,0,2,0
makari,gongfactor,gso,thx,1,0,2
mayb,ryobeat,gso,thx,0,2,0
quig,musgraves,daddy,thef,0,2,0
boyd,djl,andonuts,jib,1,-1,0
dingus,kaptinkillem,geoscyl,gildo,0,2,1
stango,bmc,kdep,papa zondo,0,0,-1
willy will,julio98,nibbity,tuba,1,0,2
marriott moy,dysfunkti0nal,loveswater,jamis,0,2,0
kramff,strouticus,s&s,dovler,1,0,2
professor pro,silent wolf,quig,musgraves,0,2,0
andonuts,jib,dingus,kaptinkillem,1,0,2
stango,bmc,nibbity,tuba,0,2,0
marriott moy,dysfunkti0nal,s&s,dovler,0,2,0
professor pro,silent wolf,dingus,kaptinkillem,0,2,0
stango,bmc,marriott moy,dysfunkti0nal,0,2,0
professor pro,silent wolf,stango,bmc,0,2,0
professor pro,silent wolf,stango,bmc,0,-2,-2
boyd,djl,geoscyl,gildo,1,-1,0
