T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
floppy,jwolf,docmo,bacon,1,0,2
biscuittricks,syd,brick,ratking,1,1,2
tilt,kramepie,docmo,bacon,1,1,2
timesink,lint,brick,ratking,1,0,2
docmo,bacon,brick,ratking,0,2,1
drephen,captain faceroll,docmo,bacon,0,-2,-2
ezpz,astealthykorean,oats,thespymachine,0,-2,-2
replicate,frotaz,final,death arcana,1,-2,-2
nipunn,vomjom,crossie,nana saves popo,0,-2,-2
void,tid,ooze,theargentinegreek,0,-2,-2
tr0y,wonder,ricedude,neverlucky,0,-2,-2
twin,javi,ezpz,astealthykorean,0,-2,-2
final,death arcana,nipunn,vomjom,1,-2,-2
m00nshoez,plup,void,tid,0,-2,-2
dayge,mogwai,tr0y,wonder,0,-2,-2
twin,javi,nipunn,vomjom,0,-2,-2
m00nshoez,plup,dayge,mogwai,0,-2,-2
twin,javi,m00nshoez,plup,0,-2,-2
replicate,frotaz,crossie,nana saves popo,1,-2,-2
tr0y,wonder,oats,thespymachine,0,-2,-2
void,tid,crossie,nana saves popo,0,-2,-2
final,death arcana,ooze,theargentinegreek,0,-2,-2
ezpz,astealthykorean,ricedude,neverlucky,1,-2,-2
tr0y,wonder,void,tid,0,-2,-2
final,death arcana,ricedude,neverlucky,0,-2,-2
nipunn,vomjom,tr0y,wonder,0,-2,-2
dayge,mogwai,final,death arcana,0,-2,-2
nipunn,vomjom,dayge,mogwai,1,-2,-2
m00nshoez,plup,dayge,mogwai,0,-2,-2
treble,banjo,jbvh,jim jam flim flam,1,0,2
sexy,grizzlybair,thx,rih,1,0,2
leahboo,@sdashkon,yardsale,tags,1,0,2
t-town,spades,ride,dinkles,0,2,0
m@chete,snacks,coleslaw,the grouch,0,2,0
n0ne,alex19,jbvh,jim jam flim flam,0,2,0
thx,rih,yardsale,tags,0,2,0
nhat,ralph,t-town,spades,0,2,0
emodinosaur,repfigit,m@chete,snacks,0,2,0
n0ne,alex19,thx,rih,0,2,1
nhat,ralph,emodinosaur,repfigit,0,2,0
n0ne,alex19,nhat,ralph,0,2,0
sexy,grizzlybair,leahboo,@sdashkon,0,2,0
m@chete,snacks,treble,banjo,0,2,0
t-town,spades,sexy,grizzlybair,1,0,2
yardsale,tags,ride,dinkles,0,2,0
jbvh,jim jam flim flam,coleslaw,the grouch,0,2,0
m@chete,snacks,sexy,grizzlybair,0,-2,-2
yardsale,tags,jbvh,jim jam flim flam,0,-2,-2
thx,rih,m@chete,snacks,0,-2,-2
emodinosaur,repfigit,yardsale,tags,0,-2,-2
thx,rih,emodinosaur,repfigit,1,0,2
nhat,ralph,emodinosaur,repfigit,0,-2,-2
zemcitrus,kevbot,bojo,toastkitten,0,-2,-2
stuner323,hurricane rising,koggy,armor,1,-2,-2
bean,lyme,nanz,mortfeld,1,-2,-2
bluefalcon,bag of beetles,coveredinbees,buckle,0,-2,-2
ice,overtriforce,zemcitrus,kevbot,1,-2,-2
fluid,butt zone,koggy,armor,0,-2,-2
swedish delight,slox,nanz,mortfeld,0,-2,-2
yamaneko,arcadia,bluefalcon,bag of beetles,0,-2,-2
zemcitrus,kevbot,fluid,butt zone,0,-2,-2
swedish delight,slox,yamaneko,arcadia,0,-2,-2
zemcitrus,kevbot,swedish delight,slox,1,-2,-2
bluefalcon,bag of beetles,bojo,toastkitten,0,-2,-2
nanz,mortfeld,stuner323,hurricane rising,0,-2,-2
koggy,armor,bean,lyme,1,-2,-2
ice,overtriforce,coveredinbees,buckle,1,-2,-2
bluefalcon,bag of beetles,nanz,mortfeld,1,-2,-2
bean,lyme,coveredinbees,buckle,0,-2,-2
fluid,butt zone,nanz,mortfeld,0,-2,-2
yamaneko,arcadia,bean,lyme,0,-2,-2
fluid,butt zone,yamaneko,arcadia,1,-2,-2
zemcitrus,kevbot,yamaneko,arcadia,0,-2,-2
bravo,hungry pigeon,rad,nav,0,-2,-2
fendricklamar,sweet,magicalhatsdx,raves,0,-2,-2
dmw,halestorm,stevedode,darkclops,0,-2,-2
nikabod,salvadoc,smurf,daftzeppelin,0,-2,-2
dcmaster,rift,zaaa,switch,1,-1,0
kira,cdk,bravo,hungry pigeon,0,-2,-2
fendricklamar,sweet,dmw,halestorm,1,-2,-2
julian,w33dl0rd840,nikabod,salvadoc,1,-2,-2
rattigan,triple r,zaaa,switch,1,-1,0
kira,cdk,dmw,halestorm,0,-2,-2
nikabod,salvadoc,zaaa,switch,0,-2,-2
kira,cdk,nikabod,salvadoc,0,-2,-2
magicalhatsdx,raves,stevedode,darkclops,0,-2,-2
rattigan,triple r,rad,nav,1,-1,0
julian,w33dl0rd840,magicalhatsdx,raves,0,-2,-2
fendricklamar,sweet,smurf,daftzeppelin,0,-2,-2
bravo,hungry pigeon,dcmaster,rift,0,0,-1
rad,nav,julian,w33dl0rd840,1,-2,-2
fendricklamar,sweet,bravo,hungry pigeon,1,-2,-2
dmw,halestorm,julian,w33dl0rd840,1,-2,-2
