T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
oni,pilot,tfu,scooty booty man,1,0,2
pintsizeraven,bigdsmash,klabautermann,naru,1,0,2
munx,geobreaker,makenshi,baxon,1,0,2
kiw1,timi,tfu,scooty booty man,0,2,0
p1n6,noscrubuk,klabautermann,naru,1,0,2
oni,pilot,makenshi,baxon,1,0,2
pintsizeraven,bigdsmash,munx,geobreaker,1,0,2
kiw1,timi,klabautermann,naru,0,2,0
tfu,scooty booty man,makenshi,baxon,1,0,2
p1n6,noscrubuk,munx,geobreaker,1,1,2
oni,pilot,pintsizeraven,bigdsmash,0,2,0
kiw1,timi,makenshi,baxon,1,1,2
klabautermann,naru,munx,geobreaker,0,2,0
tfu,scooty booty man,pintsizeraven,bigdsmash,0,2,0
p1n6,noscrubuk,oni,pilot,0,2,0
blaze,yomi,bmgz,jrhmz,0,2,0
rocky,aniolas,kabs,crumpet,0,0,-1
yeniths,haotwo,desucakes,implix,0,2,1
alexis,ahmad,ook!,gorbo,0,2,0
blaze,yomi,kabs,crumpet,0,0,-1
bmgz,jrhmz,desucakes,implix,1,0,2
rocky,aniolas,ook!,gorbo,0,2,0
yeniths,haotwo,alexis,ahmad,0,2,1
blaze,yomi,desucakes,implix,0,2,0
kabs,crumpet,ook!,gorbo,1,-1,0
bmgz,jrhmz,alexis,ahmad,1,0,2
rocky,aniolas,yeniths,haotwo,0,2,0
blaze,yomi,ook!,gorbo,0,2,0
desucakes,implix,alexis,ahmad,0,2,0
kabs,crumpet,yeniths,haotwo,1,-1,0
bmgz,jrhmz,rocky,aniolas,1,0,2
blaze,yomi,alexis,ahmad,0,2,0
ook!,gorbo,yeniths,haotwo,1,0,2
desucakes,implix,rocky,aniolas,1,0,2
kabs,crumpet,bmgz,jrhmz,1,-1,0
blaze,yomi,yeniths,haotwo,0,2,0
alexis,ahmad,rocky,aniolas,1,0,2
ook!,gorbo,bmgz,jrhmz,0,2,0
desucakes,implix,kabs,crumpet,0,0,-1
blaze,yomi,rocky,aniolas,0,2,0
yeniths,haotwo,bmgz,jrhmz,0,2,0
alexis,ahmad,kabs,crumpet,0,0,-1
ook!,gorbo,desucakes,implix,1,1,2
zoler,random-ness,banbang,molten,0,2,0
glory,ares,slagnarok,meth,0,2,0
hen,paul,ryzon,fenrir,1,1,2
jules,petteh,smo,bloodbowler,0,2,0
zoler,random-ness,slagnarok,meth,0,2,0
banbang,molten,ryzon,fenrir,1,0,2
glory,ares,smo,bloodbowler,0,2,0
hen,paul,jules,petteh,1,0,2
zoler,random-ness,ryzon,fenrir,0,2,0
slagnarok,meth,smo,bloodbowler,1,0,2
banbang,molten,jules,petteh,1,0,2
glory,ares,hen,paul,0,2,0
zoler,random-ness,smo,bloodbowler,0,2,0
ryzon,fenrir,jules,petteh,1,0,2
slagnarok,meth,hen,paul,1,1,2
banbang,molten,glory,ares,1,0,2
zoler,random-ness,jules,petteh,0,2,0
smo,bloodbowler,hen,paul,1,0,2
ryzon,fenrir,glory,ares,1,0,2
slagnarok,meth,banbang,molten,0,2,1
zoler,random-ness,hen,paul,0,2,0
jules,petteh,glory,ares,1,0,2
smo,bloodbowler,banbang,molten,0,2,0
ryzon,fenrir,slagnarok,meth,0,2,0
zoler,random-ness,glory,ares,0,2,0
hen,paul,banbang,molten,1,0,2
