T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
mvzy,anaveragekid,bpow,ellis,1,0,2
unoriginal,den,photonic,xiivi,0,2,1
rik,lanceinthepants,bpow,ellis,0,2,0
andy,markow,unoriginal,den,0,2,0
rik,lanceinthepants,andy,markow,0,2,0
hungrybox,wobbles,rik,lanceinthepants,0,2,0
wizzrobe,westballz,shroomed,s2j,1,0,3
mew2king,prince abu,sfat,duck,0,3,0
shroomed,s2j,mew2king,prince abu,0,3,0
shroomed,s2j,wizzrobe,westballz,0,3,2
drephen,orly,n0ne,swedish delight,1,0,3
captain faceroll,kira,hungrybox,wobbles,1,0,3
wizzrobe,westballz,n0ne,swedish delight,0,3,2
sfat,duck,hungrybox,wobbles,0,3,2
wizzrobe,westballz,sfat,duck,0,3,0
mew2king,prince abu,wizzrobe,westballz,1,0,3
