p1,p2,finalPlacement
ice,macd,3
moonpanda,jager,65
cobab,null,129
mb-smash,1der,193
chango,xest,65
rudolph,kounotori,257
tafokints,swiftbass,33
law,spaceanimalz.com,65
ryan ford,trulliam,17
gnarly,aaronscaring,129
jorbic,ryan,129
w1sh,ez$,257
turnup_xd,turkish delight,129
snowy,nerin,49
jaji,boji,257
datrooph,supermegawalrus,129
lance vance,mrhappy,257
salty seth,iceman,49
mando,splash,129
nost,d_lidz,257
bluepartyhat,jon dog,193
vanna black,hypn0tiq,257
dickey,lightning mcpeen,129
sharkz,gato,49
reggie,hvac,129
goobershadow,wepeel,129
mentaculus,j,257
baeblade,dublat,49
miles,king fedora,257
hello,a link named slykbacc,49
stryke02,backdoorpatrol,257
jawanga,mr. f,33
booty bandit,fan,193
monib,coffeeblack,33
bakinshake,aghi,193
poskii,mf mike,193
e-n,k-c,193
peanutphobia,emodinosaur,49
brian,legion,129
crip,honeybaked,49
sute,crustl0rd,129
callmehcarlos,l3ggy,257
esam,kage,17
chum,slug,65
amida,cob,33
zook,suezo,193
dankasswondergimps,boston's finest,257
$mike,mafia,25
coysquash,agyle,257
milo,kaptinkillem,65
ferriswheel,theroyalwe,193
buttercup,mustard,257
mattdotzeb,dr. z,33
kal-el,cake,129
plup,westballz,5
beerman,gahtzu,33
delay,kellz,257
jkj,jank,65
chillmilk,gibs,257
phish-it,emt_sol,25
kanye rest,roboticphish,65
jab,cosmic,257
sneker,mudkyp,65
hindawg,prz,65
seaghost,vincessant,97
dj nintendo,the moon,9
younger,thunderpaste,193
jembosa,shum,257
fuzzyness,brtarolg,17
lanz,void,129
cholo steve,necro joe,193
pendragon,dr. greenthumb,97
