p1,p2,finalPlacement
battery,hazard,193
dingus,kaptinkillem,49
akio,tempo,65
supahot,tfec,129
elen,kdj,17
plup,mew2king,1
miyagi,life,65
stango,bmc,25
delarock,stoned toddler,97
prospekt,perma,97
bigwenz,juggleguy,17
vt stickman,connor,97
patrick,seabass,65
dr. moo,lightningjg,97
bunqiejump,flat nat,97
scabhammer,wei,193
samurai ike,plow,65
kage,axe,7
kevorkian,mpk,49
sean barker,coda,129
marriott moy,dysfunkti0nal,65
emilywaves,admiral,65
mayb,ryobeat,25
milk,z0ra,129
moo,pip,129
8,soma,129
crush,slox,5
dr. z,rustin,17
risky,kaimen,49
edward,earthberg,129
nodge,poodledeedoop,129
theswooper,advanced,25
charlie,mom?,129
westballz,prince abu,4
pooodge,salt mine,129
intrances,beej,129
joooop,kingvi,193
zealous5000,red rice,25
grim,citius,129
ruckus,lank,65
matt,highlyeducational,193
dota,elicik,129
leet,hayrow,65
ed,jrad,33
fang,dole,193
pt2,2%,193
tranimal,legend,49
wobbles,nintendude,9
tangerine,tse,65
space ghost,blackjack,97
daddy,thef,129
armo,lion,65
piranha,slacks,49
arsi,viceroy,193
salt,idkidc,193
joelie polie olie,milk $$$,97
krusty,smillzor,129
lucifer,hung,97
four,uwan,17
adair,stacy's stepdad,97
willy will,julio98,129
mike,the puffy pancake,129
boyd,djl,193
zbomber,mello,193
bluj,tuukkatime,129
soil,22k,129
batista,ionthekid,97
moko,mizuki,129
dannyd,link2213,129
reset,bigredanimebike,193
shk shk,snow wiener,193
smitus,alchemist,129
beaver,albert with a money sign,193
mr.stitch,stdemon,193
sircabby,g0mega,129
flop,bagelz,97
skipper,macintosh,97
kdep,papa zondo,193
tian,t. webb,33
wawa,metallic,65
mattdotzeb,hentai69,33
maestro,bumble,193
lint,toe,49
exvertus,emperorbutt,193
chiefcherry,hotline,97
younger,thunderpaste,49
hot toddy,link,129
neft,null,129
burrito mobile,grrg,97
claw,kort,13
pyro,yang,193
peak,argo,193
nibbity,tuba,129
bonfire10,arty,33
panties,tempest,49
notechskill,blueeco,129
achaoticnordi,tri-volt,193
onepunchman,arcnatural,97
bigvegetabluntz,loki,33
zigludo,novamatt,129
giraphe,cniu,65
memory,crow,33
redribb0n,fumofuu,193
trees,lordbeard,65
zorro,bortogo,97
backlash,godiegogo,193
boptimus,karn1vore,129
shuffle,octomom,65
geoscyl,gildo,65
ambisinister,ghettowarmachine420,49
sweets,kingbbb,97
mocha,buck,193
[n],applefrorm,193
keg,puzzle,129
silent,saiyan,97
bigfoig,ycj,49
nfreak,nugget,65
thrash,weeaboo,65
panda,nards,97
bonkcushy,torsional strain,33
blueg,focus,33
swiftbass,tafokints,9
capitainemitaine,rudo,129
tree,floorboards,97
f0xx #009,hamr boss,193
sd rick,proxy,193
devil may cry 3,overflow,25
emil,havok,129
napz,omer,193
uncleph1l,goad,193
james landino,kevin,193
farthbog,nbs,97
keo,vrudssbm,65
s&s,dovler,97
jibb,awsmsean,193
professor pro,silent wolf,3
dr. rainbow bear,by9,193
kota,solid dong,97
lego,enemy unit,65
big l,trout oracle,129
andonuts,jib,97
tessa,zettavolt,33
silent e,bao the wyld,129
kelbek,phax,65
dtwizzledante,wombätt,129
the lizard king,mt. crushmore,33
haus,danch,129
spirit,dutes,193
sastopher,derilink,65
pph,guapo,193
cubot64,haimatox,193
dobbybonovan,mike4real,129
basic stitch,seaghost,65
kramff,strouticus,129
spiff,wind,33
loveswater,jamis,193
dogface,trogdor,65
kyu puff,dudutsai,25
nugz,debra!,193
the moon,dj nintendo,13
bbbd,shurfyne,129
pig,ibdw,17
dodge,rootbeerfloat,129
chillindude,hat,13
jeff chang,demm,193
dizzkidboogie,captain smuckers,9
vidjogamer,jisu,97
pecan3141,scarjo,193
quig,musgraves,33
zebra,yasu,129
eaglebloo,wjang,193
crispy,ringler,193
clue,squible,25
pizzamaster,spell,129
snowman,vexoskeleton,193
moat,icon,193
zeo,ciz,33
horato,shubs,129
pigeon,busy p,193
nate,pewu,129
yedi,fonzie,49
john ward,jnaut,129
shiiv,joe deveer,193
wyzdm,beverage,129
darby,norbu,129
sadfish,luckyclark,129
tommy,hufff,193
tenshi,otachi,129
fizzba,brohad,97
exaltedoreo,cupcake pirate,193
alan,hannydoon,65
nokit,loading...,193
dom,t0nka,129
songbird,roko,129
etai,vudoo,97
aureate,kfj,193
scale,ant,65
ceeds,gbaby6,193
tonic,rarik,97
jazzhands,grape jelly,129
bombsoldier,boosted,129
khan,ldubs,193
metlwing,mr. tuesday,129
watchingtime,thecivilyoshi,129
mr. lemon,klaps,25
docninj,bread,65
matty,mj,193
krythan,jgramm,129
rasen,santa,65
macd,shroomed,2
ghoul,jaybird klutz,129
melpyx,epic!,97
son2,vestboy myst,33
twisty,ses,49
zeus,flambo,49
bendo,wawa,129
suds,tace,129
widl,r2dliu,17
yung bones villain,phenoz,97
chompskye,core,193
bennyboy98,skulltown,193
rime,sora,13
him,maytag,193
switch,silver,17
freessbm,man,97
nuggets,2a4t,49
lecceo,zeta,193
slob on my knob,teenagemutantgingerturtle,193
hoofarted,bok choy,129
sambuddy5,clyvedaddy,129
ryf1sh,stoc,129
k8a,shwa$bb,65
gso,thx,33
sd_justin,swerliie,193
suds,primer,129
saltyharbor,myninja,129
tiramisu,clockmire,65
rawdog,fingerblast,129
quality steve,dennysgrandslambreakfast,97
koga,marche,65
ginger,captain faceroll,9
mafia,infinite numbers,17
paprika,yogurt,193
jojo,dinowulf,193
jdog,blanky,33
razz,nml,65
kjh,sfat,5
makari,gongfactor,49
jcela,kc,193
lucky,reno,7
hart,blahyay,49
wumbo,fives,65
