p1,p2,finalPlacement
colt,ross,49
wakka,kong,49
goldenpants,discowinter,65
brizzy,bartok,65
lickoctopus,bozomozo,65
ib,g$,17
leffen,hungrybox,3
krizski,yardsale,33
maruku,gigglyfart,33
sawrik,luka,33
kyle,tranimal,17
pokno,puke,65
windrose,jamrun,17
ziren,jon,33
radicalfox,silo,65
byod,shrub,65
dethslayr,muse,65
dlos,urpasmash,65
broc,skylan,65
soft serve,chirka,49
professor pro,druggedfox,9
viceroy,androyd,33
enjoy,cosman,65
heartless,silo,97
mprime,mgeezus,25
weon-x,kage the warrior,13
durandal,tobi,65
marko64,empire,33
smuv,guccipivotmaster4000,65
paul the beast,koebeldwill,97
rf!,aully,65
gnat,leather daddy,33
heartbreaker,lxix,17
toby,bubs,65
amilk,term,49
cyan,dr.shots,33
jp3,riot,49
saggystardust,tyuip,33
tagless lauren,imyt,65
luxy,joebigs,49
v115,ak,33
tobi,djnour,65
sedimentary rock,poop,25
kale,greener,33
mado,dio,49
rabbit,gerb,25
dkbill,swail,65
hotboi,mrhappy,65
ego,joey,49
duck chris,rumble,65
stickman,i-dog,17
mombacat,dayman,25
iridium,shchoo,65
mango,lucky,2
melpyx,ccoftw,49
shroomed,armada,4
l2p,linksta,25
commish,north dr,65
the moon,dj nintendo,5
shasha,reker,65
nintnt,dope,25
krispysmooth,lil brown,65
bcrypt,garbage prince,65
ice,duck,65
kevin,ot eric,49
coffeeblack,sauc3,13
raynex,ryan ford,7
veranibbles,pure_bazurek,65
reubthedoob,caelan,49
moky,phake,25
brtarolg,zorc,25
gemigumi,nabi,65
damian tyson,plat,97
alpha dash,jam,17
n0ne,nightmare,9
grapefruit,mossman,65
rileyreads,m3k,33
schmav,aguos,49
kidney thief,hvac,33
lahti,hex,17
syphichan,alliecat,17
vanitas,liquid,33
kid,slippy,65
blizz,ecto,65
perhapsman,spaceghost,65
prince abu,swedish delight,9
alphicans,quaff,9
fork,trulliam,13
aqux,hippo,33
jesus,dirt,65
flood,saus,13
spoopy,nate$,97
dog wearing sunglasses,toodee,49
elu,star,49
jaw,13uck5h0t,49
severian,k,33
westballz,macd,5
pewpewu,sfat,1
wizzrobe,nintendude,7
hayd,joatguy,49
