T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
the moon,professor pro,rocky,spark,0,2,0
tobi,foxy grandpa,ziggy zanderfaul,scruffy mcwonder crumpet,0,2,1
+ultra,kyza,jelijm,saxon,0,2,1
bland,shineasaurusflex,snappy sam,spook,0,2,0
tobi,foxy grandpa,chai,ursa,1,0,2
+ultra,kyza,bland,shineasaurusflex,0,2,1
aura,ndie,chai,ursa,0,2,1
jawanga,wasabi,+ultra,kyza,0,2,0
aura,ndie,jawanga,wasabi,1,1,2
rocky,spark,jawanga,wasabi,0,-2,-2
crossie,ibm2000,hurricane,eight%,0,2,0
green,shitty hungrybox,elfman,red lego,1,0,2
chango,xest,selise,archon,0,2,0
bladewise,syrox,crossie,ibm2000,0,2,0
peachicedt,davis,mini joel,krizski,0,2,1
wenbobular,winston,elfman,red lego,0,2,0
cmg,tea,chango,xest,1,-1,0
bladewise,syrox,peachicedt,davis,0,2,0
wenbobular,winston,chango,xest,0,2,0
bladewise,syrox,wenbobular,winston,0,2,0
cmg,tea,hurricane,eight%,1,-1,0
mini joel,krizski,green,shitty hungrybox,0,2,0
crossie,ibm2000,selise,archon,1,0,2
hurricane,eight%,elfman,red lego,1,0,2
mini joel,krizski,selise,archon,0,2,0
peachicedt,davis,elfman,red lego,1,0,2
chango,xest,mini joel,krizski,1,1,2
elfman,red lego,mini joel,krizski,1,1,2
wenbobular,winston,mini joel,krizski,0,-2,-2
hrmbe,haballzzz,stanky,sk,1,0,2
epidemique,littlespoon,bunk,bangkok dangerous,0,2,0
hambi,brujo,kev,elost,1,0,2
silent wolf,lovage805,stanky,sk,0,2,0
greed,puff mayne,tourist,whitegrizzly,0,2,0
spud,aisengobay,epidemique,littlespoon,0,2,0
balloon,nikabod,kev,elost,0,2,0
silent wolf,lovage805,greed,puff mayne,0,2,0
spud,aisengobay,balloon,nikabod,0,2,1
silent wolf,lovage805,spud,aisengobay,0,2,0
kev,elost,hrmbe,haballzzz,0,2,0
tourist,whitegrizzly,bunk,bangkok dangerous,1,1,2
stanky,sk,hambi,brujo,0,2,0
kev,elost,epidemique,littlespoon,0,2,1
bunk,bangkok dangerous,stanky,sk,1,0,2
greed,puff mayne,kev,elost,0,2,0
balloon,nikabod,stanky,sk,0,2,1
greed,puff mayne,balloon,nikabod,1,-1,0
spud,aisengobay,balloon,nikabod,0,-2,-2
kobold,hiyro,kb,dr piper,0,2,0
colbydude,catosat,skreww l00se,gobbleboners,1,-1,0
mvb,gman,leo,equi,0,0,-1
druggedfox,reno,kobold,hiyro,0,2,0
khale,lego,davidcanfly,low5,0,2,0
nightmare,trulliam,skreww l00se,gobbleboners,0,2,0
golf,robbo,mvb,gman,0,2,0
druggedfox,reno,khale,lego,0,2,0
nightmare,trulliam,golf,robbo,0,2,0
druggedfox,reno,nightmare,trulliam,0,2,1
mvb,gman,kb,dr piper,1,0,2
davidcanfly,low5,colbydude,catosat,0,2,0
kobold,hiyro,leo,equi,0,2,0
kb,dr piper,skreww l00se,gobbleboners,0,2,0
davidcanfly,low5,kobold,hiyro,0,2,1
khale,lego,kb,dr piper,0,2,0
golf,robbo,davidcanfly,low5,1,0,2
khale,lego,davidcanfly,low5,1,1,2
nightmare,trulliam,davidcanfly,low5,0,-2,-2
shiasurprise,leonidas,some moose,ham,1,0,2
joeco,chr 23,hyo,yum,1,0,2
pres,ezezo,stress,yield,1,0,2
mikehaze,tai,some moose,ham,0,2,0
polo,tko,gus,lex,0,2,0
amsah,rudolph,hyo,yum,0,2,0
full metal jarod,funcrazyfish,stress,yield,0,2,0
mikehaze,tai,polo,tko,0,2,0
amsah,rudolph,full metal jarod,funcrazyfish,0,2,0
mikehaze,tai,amsah,rudolph,0,2,1
stress,yield,shiasurprise,leonidas,0,2,0
gus,lex,joeco,chr 23,0,2,0
some moose,ham,pres,ezezo,1,0,2
stress,yield,hyo,yum,0,2,0
gus,lex,pres,ezezo,1,0,2
polo,tko,stress,yield,1,0,2
full metal jarod,funcrazyfish,pres,ezezo,0,2,0
stress,yield,full metal jarod,funcrazyfish,1,0,2
amsah,rudolph,full metal jarod,funcrazyfish,0,-2,-2
ketsu,arán,rainrobb,chimpus,0,2,0
starkiller,zanderwill,bozion,zer0cool,0,2,0
alien,spruce lee,ode$,the jazz,0,2,0
trif,overtriforce,ketsu,arán,0,2,0
i-mad,crispy,giraffescanfly,koder,0,2,1
noobking,luigi ka-master,starkiller,zanderwill,0,2,0
leahboo,s2b,alien,spruce lee,1,0,2
trif,overtriforce,i-mad,crispy,0,2,0
noobking,luigi ka-master,alien,spruce lee,0,2,0
trif,overtriforce,noobking,luigi ka-master,0,2,1
leahboo,s2b,rainrobb,chimpus,0,2,0
giraffescanfly,koder,bozion,zer0cool,0,2,1
ketsu,arán,ode$,the jazz,0,2,1
leahboo,s2b,starkiller,zanderwill,1,0,2
giraffescanfly,koder,ketsu,arán,1,1,2
i-mad,crispy,starkiller,zanderwill,0,2,1
alien,spruce lee,ketsu,arán,0,2,0
i-mad,crispy,alien,spruce lee,1,1,2
noobking,luigi ka-master,alien,spruce lee,0,-2,-2
sharkfist56,zapwad,ctfunction,navi,1,0,2
jerry jurr,chi,kidlink,ox,0,2,1
shadaxis,soggy,hugo popov,ginjew,1,0,2
s2j,n0ne,ctfunction,navi,0,2,0
ganobrator,salty seth,browser brown,japlorp,0,2,0
nintendude,shunsuke,jerry jurr,chi,0,2,0
shon,bor,hugo popov,ginjew,1,1,2
s2j,n0ne,ganobrator,salty seth,0,2,1
nintendude,shunsuke,hugo popov,ginjew,0,2,0
s2j,n0ne,nintendude,shunsuke,0,2,1
shon,bor,sharkfist56,zapwad,0,2,0
browser brown,japlorp,kidlink,ox,1,0,2
ctfunction,navi,shadaxis,soggy,1,0,2
shon,bor,jerry jurr,chi,0,2,1
kidlink,ox,shadaxis,soggy,1,1,2
ganobrator,salty seth,shon,bor,0,2,0
hugo popov,ginjew,shadaxis,soggy,0,2,0
ganobrator,salty seth,hugo popov,ginjew,0,2,0
nintendude,shunsuke,ganobrator,salty seth,0,-2,-2
thatssoazen,mcpowerj23,dang,beefcake,0,2,0
ajax,ec_joey,ten,rice,1,1,2
crush,dizzkidboogie,thatssoazen,mcpowerj23,0,2,0
tlo,torch,clutchcoffeebean,sebo,0,2,0
toph,vish,ten,rice,1,-1,0
ca$h morey,adpextwindong,shep,guts,1,-1,0
crush,dizzkidboogie,tlo,torch,0,2,0
ten,rice,shep,guts,0,2,0
crush,dizzkidboogie,ten,rice,0,2,0
ca$h morey,adpextwindong,dang,beefcake,1,-1,0
clutchcoffeebean,sebo,ajax,ec_joey,1,0,2
dang,beefcake,toph,vish,0,0,-1
ajax,ec_joey,thatssoazen,mcpowerj23,0,2,0
tlo,torch,dang,beefcake,0,2,0
shep,guts,ajax,ec_joey,0,2,0
tlo,torch,shep,guts,0,2,0
ten,rice,tlo,torch,0,-2,-2
burgerdon,geof t. samus,wonder,staples,0,2,0
joe schmo,puc,snake,tri,0,2,1
kegypt,whimsy,bupo,dozy,1,0,2
kalamazhu,s0ft,burgerdon,geof t. samus,0,2,0
dz,smirked,elliot,dispo,0,2,1
