T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
oc zack,oc mike the franchise,bearsfan092,affirmative action,0,2,0
jflex,g$,cohenski,nix,0,2,0
baka4moe,gawes,lemon,anjel,0,2,0
sfat,pewpewu,oc zack,oc mike the franchise,0,2,0
jflex,g$,baka4moe,gawes,0,2,0
sfat,pewpewu,jflex,g$,0,2,0
sfat,pewpewu,jflex,g$,0,-2,-2
trickyjeff,crb,nasty,unvalued,0,2,1
lemon,anjel,missing,brimiq,0,2,1
cohenski,nix,trickyjeff,crb,0,2,0
bearsfan092,affirmative action,poe,flimwad,0,2,1
s@nt,youma,hotcakes,sausage,0,2,0
lemon,anjel,cohenski,nix,1,0,2
bearsfan092,affirmative action,s@nt,youma,1,0,2
oc zack,oc mike the franchise,cohenski,nix,0,2,0
baka4moe,gawes,s@nt,youma,0,2,0
oc zack,oc mike the franchise,baka4moe,gawes,1,0,2
jflex,g$,baka4moe,gawes,0,2,1
not.brian,dr. acula zx,tarchwood,bgsatchel,0,2,0
warriorknight,ny joey,sea,nicthekiwi,0,2,0
shamunt,kenpachi,ambition,dash,0,2,1
risu,emilywaves,huck,melvin,0,2,0
eight oh eight,skate,smoof,onehandbackhand,0,2,1
zhu,macd,not.brian,dr. acula zx,0,2,0
warriorknight,ny joey,shamunt,kenpachi,0,2,0
frootloop,druggedfox,risu,emilywaves,0,2,0
brokenyew,drunksloth,eight oh eight,skate,0,2,0
zhu,macd,warriorknight,ny joey,0,2,0
frootloop,druggedfox,brokenyew,drunksloth,0,2,1
zhu,macd,frootloop,druggedfox,0,2,0
zhu,macd,frootloop,druggedfox,0,-2,-2
sea,nicthekiwi,ambition,dash,1,0,2
eight oh eight,skate,tarchwood,bgsatchel,0,2,0
risu,emilywaves,ambition,dash,1,0,2
shamunt,kenpachi,huck,melvin,0,2,0
not.brian,dr. acula zx,smoof,onehandbackhand,0,2,0
eight oh eight,skate,ambition,dash,1,0,2
shamunt,kenpachi,not.brian,dr. acula zx,0,2,0
warriorknight,ny joey,ambition,dash,0,2,0
brokenyew,drunksloth,shamunt,kenpachi,0,2,0
warriorknight,ny joey,brokenyew,drunksloth,0,2,0
frootloop,druggedfox,warriorknight,ny joey,0,2,0
bison.m,octavian,revelation,quasar,0,2,0
ruse,alex19,bacon,prinny,1,0,2
focus,moonshine,ober,phoenix,0,2,0
wreck,baj,kraines,zzz,0,2,0
nightmare,n0ne,furta,fil,0,0,-1
icon,glistening,eric,matchu,1,0,2
dj nintendo,the moon,bison.m,octavian,0,2,0
bacon,prinny,focus,moonshine,0,2,1
colbol,harriet,wreck,baj,0,2,0
nightmare,n0ne,eric,matchu,0,2,0
dj nintendo,the moon,bacon,prinny,0,2,0
colbol,harriet,nightmare,n0ne,0,2,1
dj nintendo,the moon,colbol,harriet,1,0,2
colbol,harriet,dj nintendo,the moon,0,-2,-2
ruse,alex19,ober,phoenix,0,2,0
furta,fil,icon,glistening,0,2,0
eric,matchu,revelation,quasar,0,2,0
wreck,baj,ruse,alex19,1,1,2
focus,moonshine,kraines,zzz,0,2,1
bison.m,octavian,furta,fil,1,0,2
eric,matchu,ruse,alex19,1,0,2
focus,moonshine,furta,fil,1,0,2
bacon,prinny,ruse,alex19,0,2,1
nightmare,n0ne,furta,fil,0,2,0
bacon,prinny,nightmare,n0ne,1,0,2
dj nintendo,the moon,nightmare,n0ne,0,2,0
reno,lucky,alan,shroomed,0,2,1
hungrybox,mew2king,zhu,macd,0,2,0
plup,axe,swedish delight,slox,0,2,0
sfat,pewpewu,colbol,harriet,0,2,0
reno,lucky,hungrybox,mew2king,1,0,2
plup,axe,sfat,pewpewu,0,2,0
hungrybox,mew2king,plup,axe,0,3,1
hungrybox,mew2king,plup,axe,0,3,2
wizzrobe,dizzkidboogie,prince abu,laudandus,0,2,0
swiftbass,tafokints,frootloop,druggedfox,1,0,2
toph,kalamazhu,chillindude,chudat,1,0,2
jflex,g$,dj nintendo,the moon,1,0,2
colbol,harriet,wizzrobe,dizzkidboogie,1,0,2
swedish delight,slox,frootloop,druggedfox,0,2,0
zhu,macd,chillindude,chudat,0,2,0
alan,shroomed,dj nintendo,the moon,0,2,1
wizzrobe,dizzkidboogie,swedish delight,slox,1,0,2
zhu,macd,alan,shroomed,1,0,2
reno,lucky,swedish delight,slox,0,2,0
sfat,pewpewu,alan,shroomed,0,2,0
reno,lucky,sfat,pewpewu,1,0,2
plup,axe,sfat,pewpewu,0,3,1
