P1, P2, set winner
orangekyle,mystearica,1
kk,shark,0
zachisasian,hoov,1
runes,azdiff,0
mystearica,kk,0
hoov,runes,1
lyea,mystearica,1
nicole,runes,1
mystearica,runes,0
big_mak,mystearica,0
saiyaman,puck,1
hungrybox,thrownorc,0
bow,yaboi,0
malik,triumph,1
thereflexwonder,puck,0
snake master,hungrybox,1
raziek,bow,0
shevy,triumph,0
thereflexwonder,hungrybox,0
raziek,shevy,0
thereflexwonder,raziek,0
triumph,saiyaman,0
bow,thrownorc,0
snake master,yaboi,1
puck,malik,0
triumph,bow,1
yaboi,puck,1
hungrybox,bow,0
shevy,puck,0
hungrybox,shevy,0
raziek,hungrybox,0
versace sofa,gunson,0
kace,franndotexe,0
jebailey,~~boxed~~,1
magma743,ajstak,0
larry lurr,versace sofa,0
cmurda,kace,1
sofa king,~~boxed~~,0
jaaahsh,magma743,0
larry lurr,kace,0
sofa king,jaaahsh,0
larry lurr,sofa king,0
magma743,gunson,0
~~boxed~~,franndotexe,0
cmurda,jebailey,0
versace sofa,ajstak,0
magma743,~~boxed~~,0
cmurda,versace sofa,1
kace,magma743,1
jaaahsh,versace sofa,0
magma743,jaaahsh,1
sofa king,jaaahsh,0
warhound,the flash & smash,0
warhound,leftea,0
sega,warhound,0
sega,josamabinladen,0
sega,noe3,1
solecalibur,josamabinladen,0
solecalibur,jo_,0
mekk,sega,1
mekk,the flash & smash,0
outfoxd,solecalibur,0
outfoxd,mekk,1
outfoxd,leftea,0
noe3,sega,0
noe3,outfoxd,0
krow,warhound,0
krow,noe3,0
krow,noe3,0
salem,solecalibur,0
salem,mekk,0
salem,krow,0
jo_,sega,1
blueman,slade,1
blade,slenderman,0
trashboat,gigante,1
coldweatherr,fox,0
mvd,slade,0
zambo,blade,1
fons,gigante,0
stewy,coldweatherr,0
mvd,blade,0
fons,stewy,0
mvd,fons,0
coldweatherr,blueman,0
gigante,slenderman,0
zambo,trashboat,0
slade,fox,0
coldweatherr,gigante,0
zambo,slade,1
blade,coldweatherr,1
stewy,slade,0
coldweatherr,stewy,1
fons,stewy,0
exit,cstick,0
sabo,generic,1
djcap,rude,0
austy,meatbeef,0
sm,exit,0
ramenparty,generic,1
true blue,djcap,0
mint,austy,1
sm,generic,0
true blue,austy,0
sm,true blue,1
mint,cstick,0
djcap,sabo,1
ramenparty,rude,1
exit,meatbeef,1
mint,sabo,1
rude,meatbeef,1
generic,sabo,0
austy,meatbeef,0
generic,austy,1
sm,austy,0
vegeta18,amiiboking313,1
popkey,#cheeky,1
baptraplap,snoofl,1
osp975,k-grizz,1
nickriddle,amiiboking313,0
mosquitoboy,#cheeky,1
smasher1001,snoofl,0
n,k-grizz,0
nickriddle,#cheeky,0
smasher1001,n,0
nickriddle,smasher1001,0
k-grizz,vegeta18,1
snoofl,popkey,0
mosquitoboy,baptraplap,1
amiiboking313,osp975,0
vegeta18,snoofl,1
baptraplap,amiiboking313,1
#cheeky,snoofl,1
n,amiiboking313,0
snoofl,n,1
smasher1001,n,0
daybreak,orph,0
kyleaye,slam jammington,1
ohko ,plums jr,0
1337,boofish,0
pink fresh,daybreak,0
ryt€ous,slam jammington,1
poke,ohko ,0
danereich,1337,1
pink fresh,slam jammington,0
poke,1337,0
pink fresh,poke,0
danereich,orph,1
ohko ,kyleaye,0
ryt€ous,plums jr,0
daybreak,boofish,0
orph,ohko ,1
ryt€ous,daybreak,1
slam jammington,ohko ,1
1337,daybreak,1
ohko ,daybreak,1
poke,daybreak,0
stetlino,heydom,0
lunicktmm,n7,0
fullontaco,guest,1
kasper,zettaslow,0
ned,stetlino,0
zeta,lunicktmm,1
nasubi,guest,0
toronto joe,kasper,1
ned,lunicktmm,0
nasubi,kasper,0
ned,nasubi,0
toronto joe,heydom,1
guest,n7,0
zeta,fullontaco,1
stetlino,zettaslow,0
heydom,guest,1
fullontaco,stetlino,1
lunicktmm,guest,0
kasper,stetlino,0
lunicktmm,kasper,0
nasubi,lunicktmm,0
ce,jbrockpony,1
oreeo,bayless,1
constable lemon,seiryuufang,0
that1blakkkid,bsquared,1
esam,jbrockpony,0
glacey,bayless,1
frozen,constable lemon,0
proto,bsquared,0
esam,bayless,0
frozen,proto,0
esam,frozen,1
bsquared,ce,0
constable lemon,oreeo,0
glacey,seiryuufang,0
jbrockpony,that1blakkkid,0
bsquared,constable lemon,0
glacey,jbrockpony,1
bayless,bsquared,1
proto,jbrockpony,1
bsquared,jbrockpony,1
esam,jbrockpony,0
thugz,witeoute,1
jbecker14,shydude,1
bearseal,beartong,1
strong bad,l3375,0
pugwest,witeoute,0
peps,shydude,1
colinies,beartong,0
dwn4thekaz,strong bad,1
pugwest,shydude,0
colinies,strong bad,0
pugwest,colinies,0
dwn4thekaz,thugz,0
beartong,jbecker14,0
peps,bearseal,1
witeoute,l3375,0
dwn4thekaz,beartong,0
bearseal,witeoute,1
shydude,dwn4thekaz,1
strong bad,witeoute,0
dwn4thekaz,strong bad,0
colinies,dwn4thekaz,0
squiddy,vinje,0
macarenamacaroni,ra¥,0
apollo,bt-mac,1
k1lllaag,bb,0
nairo,squiddy,0
flo,macarenamacaroni,1
phoenix,bt-mac,0
carbuncle,k1lllaag,0
nairo,macarenamacaroni,0
phoenix,carbuncle,0
nairo,phoenix,0
k1lllaag,vinje,0
bt-mac,ra¥,0
flo,apollo,1
squiddy,bb,0
k1lllaag,bt-mac,1
apollo,squiddy,1
macarenamacaroni,bt-mac,0
carbuncle,squiddy,0
macarenamacaroni,carbuncle,1
phoenix,carbuncle,0
flockaveli,pepelogoo,0
crysisbacon,breezy,1
people's champ batman,qwillinallthefish,0
jayy,uncle puppy,0
nakat,flockaveli,0
xeerga,breezy,1
nero,people's champ batman,0
flashfire,jayy,1
nakat,breezy,0
nero,jayy,0
nakat,nero,0
flashfire,pepelogoo,0
people's champ batman,crysisbacon,0
xeerga,qwillinallthefish,1
flockaveli,uncle puppy,0
flashfire,people's champ batman,1
qwillinallthefish,flockaveli,1
breezy,people's champ batman,1
jayy,flockaveli,0
people's champ batman,jayy,0
nero,people's champ batman,0
smittywerb,el_dominico,0
pgd,lolcat,1
dfault,otanda,1
raichu4u,remo,0
mr.r,smittywerb,0
egaz,lolcat,0
miloni,otanda,0
gnox,raichu4u,0
mr.r,egaz,0
miloni,gnox,0
mr.r,miloni,0
raichu4u,el_dominico,0
otanda,pgd,0
lolcat,dfault,0
smittywerb,remo,0
raichu4u,otanda,0
lolcat,smittywerb,0
egaz,raichu4u,0
gnox,lolcat,0
egaz,gnox,0
miloni,egaz,0
juggleboy,godofgrunts,0
exia,dr.g,0
dove,swift,1
kenpachi,bhyer,1
mr.e,juggleboy,0
waddle,exia,0
tastycomawife,swift,0
never,bhyer,0
mr.e,waddle,0
tastycomawife,never,0
mr.e,tastycomawife,0
bhyer,godofgrunts,1
swift,dr.g,0
exia,dove,0
juggleboy,kenpachi,0
godofgrunts,swift,0
exia,juggleboy,0
waddle,godofgrunts,0
never,exia,0
waddle,never,0
tastycomawife,waddle,0
rockmix,gejono,0
spectroid,l30,1
mcdareth,e-serpent,1
scooperman,kira,1
rayquaza07,rockmix,0
russky,l30,0
lagnel,e-serpent,0
jswiss,kira,0
rayquaza07,russky,0
lagnel,jswiss,0
rayquaza07,lagnel,0
kira,gejono,0
e-serpent,spectroid,0
l30,mcdareth,1
rockmix,scooperman,0
kira,e-serpent,1
mcdareth,rockmix,0
russky,e-serpent,1
jswiss,mcdareth,0
e-serpent,jswiss,0
lagnel,e-serpent,0
mr.h,getlo,0
therosethorn,a1sinceday1,0
dark wizzy,pratmire,0
huckleberry dog,kang,1
mew2king,mr.h,0
sharrrk,therosethorn,0
tonysherbert,dark wizzy,0
lord sturm,kang,0
mew2king,sharrrk,0
tonysherbert,lord sturm,0
mew2king,tonysherbert,0
kang,getlo,0
dark wizzy,a1sinceday1,0
therosethorn,pratmire,1
mr.h,huckleberry dog,0
