P1,P2,set winner,P1Score,P2Score
blazingpasta,cyberman65,0,2,0
versus,nandos,1,0,2
gomamugitya,action john,0,2,0
gomamugitya,shady,0,2,1
gomamugitya,blazingpasta,0,2,1
gomamugitya,zephyr,0,-2,-2
vom,q,1,-1,0
zephyr,action john,0,2,0
zephyr,nandos,0,2,0
zephyr,maverickhunter,0,2,1
chocchip,vom,0,0,-1
cyberman65,dj,0,2,1
cyberman65,steezy,0,2,0
maverickhunter,versus,0,2,0
shotgunraptorjesus,mcfly,0,-2,-2
nikira,andy,1,-2,-2
alfie,epm,1,-2,-2
omega tyrant,juice,0,-2,-2
mega,buzz,0,-2,-2
lordxav1er,naga,0,-2,-2
kibo,arhungry,1,-2,-2
big boss,gymbo2000,0,-2,-2
jazz,navii,0,-2,-2
soan,thetruth,0,-2,-2
sims,fs shampoomaster,1,-2,-2
suar,oneglance,1,-2,-2
delta,nbd~x,1,-2,-2
tweek,shotgunraptorjesus,0,-2,-2
andy,epm,1,-2,-2
omega tyrant,mega,0,-2,-2
lordxav1er,arhungry,1,-2,-2
camalange,big boss,0,-2,-2
jazz,soan,1,-2,-2
raptor,fs shampoomaster,0,-2,-2
oneglance,nbd~x,1,-2,-2
tweek,epm,0,-2,-2
omega tyrant,arhungry,0,-2,-2
camalange,soan,0,-2,-2
raptor,nbd~x,0,-2,-2
tweek,omega tyrant,0,-2,-2
camalange,raptor,1,-2,-2
tweek,raptor,0,2,0
nikira,alfie,1,-2,-2
juice,buzz,0,-2,-2
naga,kibo,1,-2,-2
navii,thetruth,1,-2,-2
suar,delta,1,-2,-2
oneglance,mcfly,1,-2,-2
fs shampoomaster,alfie,1,-2,-2
jazz,juice,1,-2,-2
big boss,kibo,0,-2,-2
lordxav1er,gymbo2000,0,-2,-2
mega,thetruth,0,-2,-2
andy,sims,0,-2,-2
shotgunraptorjesus,delta,1,-2,-2
mcfly,alfie,1,-2,-2
juice,big boss,0,-2,-2
lordxav1er,mega,0,-2,-2
andy,delta,1,0,2
arhungry,alfie,0,-2,-2
epm,juice,0,-2,-2
nbd~x,lordxav1er,1,-2,-2
soan,delta,0,2,0
arhungry,epm,0,2,1
lordxav1er,soan,1,1,2
camalange,arhungry,0,2,0
omega tyrant,soan,0,2,0
camalange,omega tyrant,1,-2,-2
raptor,omega tyrant,0,-2,-2
sandbag,ryn,1,1,2
gutts,pheno,0,2,0
tac,warden,1,0,2
fabled,sneevik,1,-1,0
thebombbimbi,konamikode,0,2,0
xorn,dio,0,2,0
skully,travisty,1,0,2
mr. dedz,rawk,1,0,2
primefighter,avium,0,2,1
mono,maro,1,1,2
atlas,amon,1,0,2
jebb,superscope,0,2,0
th3italianpanda,elote,0,-2,-2
mkleo,ryn,0,2,0
gutts,warden,0,2,0
sneevik,thebombbimbi,0,2,0
xorn,travisty,0,2,1
angel cortes,rawk,0,2,1
primefighter,maro,0,2,0
frozen,amon,0,2,0
jebb,th3italianpanda,0,2,0
mkleo,gutts,0,2,0
sneevik,xorn,1,0,2
angel cortes,primefighter,0,2,0
frozen,jebb,0,2,1
mkleo,xorn,0,2,0
angel cortes,frozen,0,2,0
mkleo,angel cortes,0,2,0
pheno,tac,0,2,0
fabled,konamikode,1,-1,0
dio,skully,0,2,0
avium,mono,1,1,2
superscope,elote,0,2,0
th3italianpanda,sandbag,1,0,2
amon,pheno,0,2,0
maro,konamikode,1,0,2
rawk,dio,1,1,2
travisty,mr. dedz,0,2,0
thebombbimbi,mono,1,0,2
warden,atlas,0,2,0
ryn,superscope,1,0,2
sandbag,amon,1,0,2
konamikode,dio,1,0,2
travisty,mono,1,0,2
warden,superscope,1,0,2
sneevik,amon,1,0,2
gutts,dio,1,0,2
jebb,mono,0,2,0
primefighter,superscope,1,0,2
amon,dio,1,1,2
jebb,superscope,0,2,0
frozen,dio,0,2,0
xorn,jebb,0,2,1
frozen,xorn,0,2,1
angel cortes,frozen,0,-2,-2
mlarcin,cheezyb,0,-2,-2
blitz,hydra,1,-2,-2
littlesac,roxas,1,-2,-2
riz,cosmo,0,-2,-2
cliffdog,the real mr. m,0,-2,-2
eazy,robot,0,-2,-2
pankeiki,subzero450,0,-2,-2
storm,frostino,0,-2,-2
spacemario,weaksentry,0,-2,-2
jaymillex,slingshot,0,-2,-2
solaire,red squirrel,0,-2,-2
pershado,cougycougs,0,-2,-2
yobby,squirrely,0,-2,-2
zinoto,mlarcin,0,-2,-2
hydra,roxas,1,-2,-2
riz,cliffdog,0,-2,-2
eazy,pankeiki,1,-2,-2
