P1, P2, set winner
chillmilk / gibs,lonebutterfish / truckasaurus,1
chum / slug,mkultra / pono,0
chillindude / chudat,elliot / flaze,0
lanz / void,jaji / boji,0
jzee / djniinii,microsoft j / spud,1
voa / freakydashiki,coyote / triple r,1
mattdotzeb / dr. z,lonebutterfish / truckasaurus,0
kliner / deku,corn / lorenzo,1
rik / lanceinthepants,chum / slug,1
surf's up. hail satan. / deathpie,tarn / stetlino,0
chillindude / chudat,lanz / void,0
microsoft j / spud,coyote / triple r,1
mattdotzeb / dr. z,corn / lorenzo,0
chum / slug,surf's up. hail satan. / deathpie,0
chillindude / chudat,coyote / triple r,0
mattdotzeb / dr. z,chum / slug,0
chillindude / chudat,mattdotzeb / dr. z,0
chillindude / chudat,rik / lanceinthepants,0
tarn / stetlino,kups / safety1st,1
kliner / deku,gooz / ruslinjimmies,0
voa / freakydashiki,chillmilk / gibs,0
jaji / boji,mkultra / pono,1
kups / safety1st,rik / lanceinthepants,1
kliner / deku,lonebutterfish / truckasaurus,1
voa / freakydashiki,jzee / djniinii,0
mkultra / pono,elliot / flaze,1
microsoft j / spud,rik / lanceinthepants,1
lanz / void,lonebutterfish / truckasaurus,1
surf's up. hail satan. / deathpie,voa / freakydashiki,0
corn / lorenzo,elliot / flaze,0
rik / lanceinthepants,lonebutterfish / truckasaurus,0
surf's up. hail satan. / deathpie,corn / lorenzo,0
chum / slug,rik / lanceinthepants,1
coyote / triple r,surf's up. hail satan. / deathpie,0
rik / lanceinthepants,coyote / triple r,0
mattdotzeb / dr. z,rik / lanceinthepants,1
high-c / dfu,queuess / linus,0
ctl / bigwenz,alliecat / jamrun,0
r23 / meamking,dope / luigi master tae,0
ten / marriott moy,e-n / k-c,0
axe / taj,high-c / dfu,0
fluffs / wiggles,cday / slyben,0
sharkz / gato,ctl / bigwenz,0
rocktimus crime / scoback,els3y / jakejam,1
$mike / mafia,r23 / meamking,0
mattmog / jobes,jab / cosmic,0
ibdw / hungry pigeon,ten / marriott moy,0
scoot / jonah,galen the wise / light,1
axe / taj,fluffs / wiggles,0
sharkz / gato,els3y / jakejam,0
$mike / mafia,mattmog / jobes,0
ibdw / hungry pigeon,galen the wise / light,0
axe / taj,sharkz / gato,0
$mike / mafia,ibdw / hungry pigeon,0
axe / taj,$mike / mafia,0
axe / taj,$mike / mafia,0
scoot / jonah,queuess / linus,1
jab / cosmic,alliecat / jamrun,1
rocktimus crime / scoback,dope / luigi master tae,1
cday / slyben,e-n / k-c,1
queuess / linus,ten / marriott moy,1
alliecat / jamrun,r23 / meamking,0
dope / luigi master tae,ctl / bigwenz,0
e-n / k-c,high-c / dfu,1
els3y / jakejam,ten / marriott moy,1
fluffs / wiggles,alliecat / jamrun,1
galen the wise / light,dope / luigi master tae,0
mattmog / jobes,high-c / dfu,1
ten / marriott moy,alliecat / jamrun,0
galen the wise / light,high-c / dfu,0
ibdw / hungry pigeon,ten / marriott moy,0
sharkz / gato,galen the wise / light,0
ibdw / hungry pigeon,sharkz / gato,0
$mike / mafia,ibdw / hungry pigeon,0
moonpanda / jager,orly / hot,1
gman / jakpox,bt$ / fooly,0
younger / thunderpaste,theswooper / cow,0
lxix / nix,dimarx / providerofsouls,0
colbol / dizzkidboogie,orly / hot,0
derfmidwest / kezzup,jaypee / nateb64,0
phex / usleon,gman / jakpox,0
orangepledge / yogothewizard,roshi / doodler,1
tafokints / swiftbass,younger / thunderpaste,0
mando / splash,jorbic / ryan,1
sago / scythe,lxix / nix,0
beegs / invinceabull,rayd / salz,0
colbol / dizzkidboogie,derfmidwest / kezzup,0
phex / usleon,roshi / doodler,0
tafokints / swiftbass,jorbic / ryan,0
sago / scythe,beegs / invinceabull,0
colbol / dizzkidboogie,phex / usleon,0
tafokints / swiftbass,sago / scythe,0
colbol / dizzkidboogie,tafokints / swiftbass,0
colbol / dizzkidboogie,sago / scythe,0
rayd / salz,moonpanda / jager,1
mando / splash,bt$ / fooly,0
orangepledge / yogothewizard,theswooper / cow,0
jaypee / nateb64,dimarx / providerofsouls,0
moonpanda / jager,lxix / nix,0
mando / splash,younger / thunderpaste,0
orangepledge / yogothewizard,gman / jakpox,1
jaypee / nateb64,orly / hot,1
roshi / doodler,moonpanda / jager,1
derfmidwest / kezzup,mando / splash,0
beegs / invinceabull,gman / jakpox,0
jorbic / ryan,orly / hot,1
moonpanda / jager,derfmidwest / kezzup,0
beegs / invinceabull,orly / hot,1
sago / scythe,moonpanda / jager,0
phex / usleon,orly / hot,0
sago / scythe,phex / usleon,0
tafokints / swiftbass,sago / scythe,1
nick / simple,dutch / the ta,0
link master 3000 / spaceghost,ferriswheel / theroyalwe,1
gumble / stone watcher,konati / zeal,1
chaitea / shabo,ctrlaltdefeat / jonny gumball gamble,0
wonderbread / mw,king boolean / psych,0
tai / slox,nick / simple,0
rushhour / kmol,impy / zamn,1
anther / shaeden,ferriswheel / theroyalwe,0
leahboo / s2b,konati / zeal,1
vanity angel / professor pro,chaitea / shabo,0
unit / christ himself,coupkey / wizard,0
zeo / spark,wonderbread / mw,0
falcouser / jeodude,moo / snape,1
tai / slox,impy / zamn,0
anther / shaeden,konati / zeal,0
vanity angel / professor pro,unit / christ himself,0
zeo / spark,moo / snape,0
tai / slox,anther / shaeden,0
vanity angel / professor pro,zeo / spark,0
tai / slox,vanity angel / professor pro,1
vanity angel / professor pro,tai / slox,0
falcouser / jeodude,dutch / the ta,1
coupkey / wizard,link master 3000 / spaceghost,1
chaitea / shabo,gumble / stone watcher,0
leahboo / s2b,ctrlaltdefeat / jonny gumball gamble,1
rushhour / kmol,king boolean / psych,0
dutch / the ta,wonderbread / mw,0
link master 3000 / spaceghost,chaitea / shabo,1
ctrlaltdefeat / jonny gumball gamble,ferriswheel / theroyalwe,0
rushhour / kmol,nick / simple,1
konati / zeal,dutch / the ta,0
impy / zamn,chaitea / shabo,1
moo / snape,ctrlaltdefeat / jonny gumball gamble,1
unit / christ himself,nick / simple,1
konati / zeal,chaitea / shabo,1
ctrlaltdefeat / jonny gumball gamble,nick / simple,0
zeo / spark,chaitea / shabo,0
anther / shaeden,ctrlaltdefeat / jonny gumball gamble,0
zeo / spark,anther / shaeden,0
tai / slox,zeo / spark,0
peter / uguize,dankasswondergimps / boston's finest,0
bakinshake / aghi,drage / liva,1
bb / den,rockmix / sonachan,0
regi / duk,callmehcarlos  / l3ggy,0
lovage805 / s2j,peter / uguize,0
blahguy / grognar,eggy / tangmang,1
benstillerfan69 / sweet,drage / liva,0
law / spaceanimalz.com,cablebox / notmitch,0
nightmare / n0ne,bb / den,0
abc / loveswater,dabeazt / keams,1
jawanga / mr. f,regi / duk,0
cholo steve / necro joe,ryf1sh / timesink,1
lovage805 / s2j,eggy / tangmang,0
benstillerfan69 / sweet,law / spaceanimalz.com,0
nightmare / n0ne,dabeazt / keams,0
jawanga / mr. f,ryf1sh / timesink,0
lovage805 / s2j,benstillerfan69 / sweet,0
nightmare / n0ne,jawanga / mr. f,0
lovage805 / s2j,nightmare / n0ne,0
lovage805 / s2j,nightmare / n0ne,0
cholo steve / necro joe,dankasswondergimps / boston's finest,0
abc / loveswater,bakinshake / aghi,1
cablebox / notmitch,rockmix / sonachan,0
blahguy / grognar,callmehcarlos  / l3ggy,0
cholo steve / necro joe,regi / duk,1
bakinshake / aghi,bb / den,1
cablebox / notmitch,drage / liva,1
blahguy / grognar,peter / uguize,0
law / spaceanimalz.com,regi / duk,0
eggy / tangmang,bb / den,1
ryf1sh / timesink,drage / liva,1
dabeazt / keams,blahguy / grognar,1
law / spaceanimalz.com,bb / den,0
drage / liva,blahguy / grognar,0
jawanga / mr. f,law / spaceanimalz.com,0
benstillerfan69 / sweet,drage / liva,0
jawanga / mr. f,benstillerfan69 / sweet,0
nightmare / n0ne,jawanga / mr. f,0
crispy t. / the oiler,dable / r-1,0
nintnt / dope,the ram / bj,0
jkj / jank,godzillaking / noldorian,0
ppsd / yankee,rudolph / kounotori,0
druggedfox / swedish delight,crispy t. / the oiler,0
steve / unit456,sizzle / dysfunkti0nal,1
salty seth / iceman,nintnt / dope,0
xyk / seraph,quigs / turtle,0
esam / kage,jkj / jank,0
batteriez / savage,seaghost / vincessant,1
captain faceroll / mchi,ppsd / yankee,0
king_purple / u01,dono42 / thehazman00,1
druggedfox / swedish delight,sizzle / dysfunkti0nal,0
salty seth / iceman,xyk / seraph,0
esam / kage,seaghost / vincessant,0
captain faceroll / mchi,dono42 / thehazman00,0
druggedfox / swedish delight,salty seth / iceman,0
esam / kage,captain faceroll / mchi,0
druggedfox / swedish delight,esam / kage,0
druggedfox / swedish delight,esam / kage,0
king_purple / u01,dable / r-1,1
batteriez / savage,the ram / bj,1
