P1,P2,set winner,P1Score,P2Score
pizza,j9d2,0,2,0
tacos,bacorn,0,2,0
dogg,bard,0,2,0
shalaka,sunflower,0,2,0
hipstur,pizza,0,2,0
tacos,dogg,0,2,0
shalaka,hipstur,0,2,1
tacos,shalaka,0,-2,-2
j9d2,scott,0,2,0
putpasswordhere,tweli,0,0,-1
deathcpo,charlie,0,2,0
j9d2,derstuk,0,2,0
moonshoe,cormander,0,2,0
putpasswordhere,jaws,1,1,2
deathcpo,billbacon420,0,2,0
bard,j9d2,0,2,0
bacorn,moonshoe,1,0,2
pizza,jaws,0,2,0
sunflower,deathcpo,1,0,2
bard,moonshoe,0,2,0
pizza,deathcpo,0,2,0
hipstur,bard,1,1,2
dogg,pizza,0,2,0
bard,dogg,0,-2,-2
changed man,bus,0,0,-1
amaya,maaron,1,0,2
spt,jobook,0,0,-1
chiefreaper,warmachine1919,0,2,0
kurabba,changed man,0,2,0
tafokints,yrn,1,-1,0
dfx,maaron,0,2,0
mr.sir,subtle,0,2,1
barksanchez,spt,0,2,0
nesskhalifa,savior,0,2,0
a$,chiefreaper,0,2,0
rizner,eg,1,0,2
kurabba,yrn,0,2,0
dfx,mr.sir,0,2,0
barksanchez,nesskhalifa,0,2,0
a$,eg,0,2,0
kurabba,dfx,0,2,0
barksanchez,a$,0,2,1
kurabba,barksanchez,0,-2,-2
rizner,bus,0,0,-1
savior,amaya,0,2,0
subtle,jobook,0,0,-1
tafokints,warmachine1919,0,2,0
rizner,chiefreaper,0,2,0
savior,spt,0,2,0
subtle,maaron,0,2,0
tafokints,changed man,0,0,-1
mr.sir,rizner,0,2,1
yrn,savior,0,2,0
eg,subtle,0,2,0
nesskhalifa,tafokints,0,2,0
mr.sir,yrn,0,2,0
eg,nesskhalifa,0,2,0
a$,mr.sir,0,2,0
dfx,eg,0,2,0
a$,dfx,0,-2,-2
bozz,vanddar,1,0,2
hypa,reese,0,2,0
cbones,thegoat,0,2,0
hiv+,sadu,0,2,0
wizzrobe,vanddar,0,2,0
dk dredd,cwic-beam,1,0,2
jason,hypa,0,2,0
saltsizzle,paco [larkin],0,2,0
firo,cbones,0,2,0
rusty,shug,0,2,0
darkhorse,hiv+,0,2,0
annex,dankpank,0,2,0
wizzrobe,cwic-beam,0,2,0
jason,saltsizzle,1,0,2
firo,rusty,0,2,0
darkhorse,annex,0,2,0
wizzrobe,saltsizzle,0,2,0
firo,darkhorse,0,2,0
wizzrobe,firo,0,-2,-2
dankpank,bozz,0,2,0
shug,reese,1,0,2
paco [larkin],thegoat,0,2,0
dk dredd,sadu,1,0,2
dankpank,hiv+,0,2,0
reese,cbones,0,2,0
paco [larkin],hypa,1,0,2
sadu,vanddar,1,0,2
jason,dankpank,0,2,0
cwic-beam,reese,0,2,0
annex,hypa,0,2,0
rusty,vanddar,0,2,0
jason,cwic-beam,0,2,0
annex,rusty,1,0,2
darkhorse,jason,1,0,2
saltsizzle,rusty,0,2,0
jason,saltsizzle,0,-2,-2
sabo,yolochi,1,-1,0
masquerade,curiousplaces,0,2,0
gambit,leaf fc,1,0,2
fox,yolochi,0,2,0
zhu,khakis,0,2,1
gravyfingers,lonk,0,2,0
korobeniki,v-bomber,0,2,0
jaimehr,masquerade,0,2,0
tyhiggz,professor_wizard,0,2,1
nothing,leaf fc,0,2,0
umbra,bflakes,0,2,0
fox,zhu,0,2,0
gravyfingers,korobeniki,0,2,0
jaimehr,tyhiggz,0,2,0
nothing,umbra,0,2,0
fox,gravyfingers,0,2,0
jaimehr,nothing,0,2,0
fox,jaimehr,0,-2,-2
