P1,P2,set winner,P1Score,P2Score
superboomfan,marbles,0,3,0
fireblaster,shears,0,3,0
tacos,nintendude,0,3,0
barksanchez,dajjal,0,3,0
superboomfan,fireblaster,0,-2,-2
tacos,barksanchez,0,-2,-2
kaz,apparition the ambassador,0,3,1
hotline,bread,1,0,3
gildo,grrg,0,3,1
scratch,llcstoism,1,0,3
natendo,purtle,1,0,3
heny935,sunflower,1,0,3
jxc,the (.)(.),1,0,3
tonester,gt,1,2,3
scoback,kaz,0,3,0
tyhiggz,bread,0,3,0
yunque,gildo,0,3,0
zuko,llcstoism,1,1,3
mr.sir,purtle,0,3,1
shihman,sunflower,0,3,0
madrush21,the (.)(.),0,3,0
a to the z,gt,1,1,3
scoback,tyhiggz,1,2,3
yunque,llcstoism,0,3,0
mr.sir,shihman,1,1,3
madrush21,gt,0,3,0
nintendude,tyhiggz,0,3,0
dajjal,yunque,0,3,0
marbles,shihman,0,3,1
shears,madrush21,0,3,2
nintendude,dajjal,0,-2,-2
marbles,shears,0,-2,-2
superboomfan,fireblaster,0,3,0
tacos,barksanchez,0,3,0
superboomfan,tacos,0,3,0
superboomfan,tacos,0,3,0
nintendude,dajjal,0,3,0
marbles,shears,0,3,1
fireblaster,nintendude,0,3,0
barksanchez,marbles,0,3,0
fireblaster,barksanchez,1,1,3
tacos,barksanchez,0,3,1
sandman,giraphe,1,-1,0
greeno,daddy's milk,0,0,-1
b.i.,squible,0,2,0
chicken,razz,0,2,0
lalo,waxy:joe,1,0,2
leavescat,myninja,0,2,0
hariballz,zyrg,1,0,2
tbq,bigbeaver,1,0,2
giraphe,greeno,1,-1,0
b.i.,chicken,0,2,0
waxy:joe,leavescat,0,2,0
zyrg,bigbeaver,1,0,2
greeno,b.i.,0,2,1
waxy:joe,bigbeaver,0,2,1
greeno,waxy:joe,0,3,2
greeno,waxy:joe,0,3,1
quickcav,spaghetti,0,0,-1
satch,xiivi,1,-1,0
rgood,mojo,0,0,-1
fingerblast,brambramjam,0,0,-1
rawdog,macintosh,0,0,-1
cagt,damp,0,0,-1
nuro,tallyshell,0,0,-1
redwolf,esid,1,-1,0
razz,quickcav,1,0,2
squible,xiivi,1,0,2
daddy's milk,rgood,1,-1,0
sandman,fingerblast,1,-1,0
tbq,rawdog,0,0,-1
hariballz,cagt,0,2,0
myninja,nuro,0,0,-1
lalo,esid,1,0,2
quickcav,xiivi,0,2,0
rgood,fingerblast,1,-1,0
tbq,hariballz,0,2,1
myninja,esid,1,0,2
