P1, P2, set winner
grampa josh / #cheeky,ra¥ / aaa,0
lordmix / kingkong,egaz / winks,1
joecool^ / apollo,tyroy / zinoto,0
vegeta18 / dfault,orangekyle / masaru,0
iceunleashed / smdymek,dkdudeman / meatbeef,1
dkwill / mr.e,grampa josh / #cheeky,0
egaz / winks,joecool^ / apollo,0
jjrockets / karna,vegeta18 / dfault,0
crazycolorz5 / karinole,dkdudeman / meatbeef,0
dkwill / mr.e,egaz / winks,0
jjrockets / karna,crazycolorz5 / karinole,0
dkwill / mr.e,jjrockets / karna,0
dkwill / mr.e,jjrockets / karna,0
lordmix / kingkong,tyroy / zinoto,0
dkdudeman / meatbeef,ra¥ / aaa,0
vegeta18 / dfault,lordmix / kingkong,0
joecool^ / apollo,orangekyle / masaru,0
grampa josh / #cheeky,iceunleashed / smdymek,0
dkdudeman / meatbeef,vegeta18 / dfault,0
joecool^ / apollo,grampa josh / #cheeky,1
egaz / winks,dkdudeman / meatbeef,1
crazycolorz5 / karinole,grampa josh / #cheeky,0
dkdudeman / meatbeef,crazycolorz5 / karinole,1
jjrockets / karna,crazycolorz5 / karinole,0
supra / cascade,curry / catelt,0
hermit / oreeo,ddip / peegert,0
beegs / hoov,salz / output-null,0
chrispy / bsquared,the bowz / glacey,0
true blue / dath,supra / cascade,0
james / the great gonzales,hermit / oreeo,0
wadi / remzi,beegs / hoov,0
lagnel / kie,chrispy / bsquared,0
true blue / dath,james / the great gonzales,0
wadi / remzi,lagnel / kie,0
true blue / dath,wadi / remzi,0
true blue / dath,wadi / remzi,0
chrispy / bsquared,curry / catelt,0
beegs / hoov,ddip / peegert,0
hermit / oreeo,salz / output-null,0
supra / cascade,the bowz / glacey,1
chrispy / bsquared,beegs / hoov,0
hermit / oreeo,the bowz / glacey,1
james / the great gonzales,chrispy / bsquared,0
lagnel / kie,the bowz / glacey,0
james / the great gonzales,lagnel / kie,0
wadi / remzi,james / the great gonzales,0
countedbeef122 / b4y6,jnkolm / russky,1
bungholio / underwolf,quilly / arma,0
ceeolm / bearseal,smittywerb / zemadrussian,0
wellequippedhobo / soysauced,zidico / bluedanes,1
mew2king / ally,jnkolm / russky,0
viev / komota,bungholio / underwolf,0
demitus / dan,ceeolm / bearseal,0
lingling / kogarasuma,zidico / bluedanes,0
mew2king / ally,viev / komota,0
demitus / dan,lingling / kogarasuma,0
mew2king / ally,demitus / dan,0
mew2king / ally,lingling / kogarasuma,0
zidico / bluedanes,countedbeef122 / b4y6,0
ceeolm / bearseal,quilly / arma,1
bungholio / underwolf,smittywerb / zemadrussian,0
jnkolm / russky,wellequippedhobo / soysauced,0
zidico / bluedanes,quilly / arma,0
bungholio / underwolf,jnkolm / russky,0
viev / komota,zidico / bluedanes,0
lingling / kogarasuma,bungholio / underwolf,0
viev / komota,lingling / kogarasuma,1
demitus / dan,lingling / kogarasuma,1
ruslinjimmies / doeboy,pokecheese / blueman,0
people's champ batman / categhetti,consumed mexilag / flashfire,0
tarn / stetlino,crispy t. / the oiler,0
mystearica / tastycomawife,yopedd / tetsu,0
ryuga / rayquaza07,ruslinjimmies / doeboy,0
king james / regralht,people's champ batman / categhetti,1
chrim foish / san,tarn / stetlino,0
rickles / dom,mystearica / tastycomawife,0
ryuga / rayquaza07,people's champ batman / categhetti,0
chrim foish / san,rickles / dom,0
ryuga / rayquaza07,chrim foish / san,0
ryuga / rayquaza07,chrim foish / san,0
mystearica / tastycomawife,pokecheese / blueman,0
tarn / stetlino,consumed mexilag / flashfire,0
king james / regralht,crispy t. / the oiler,0
ruslinjimmies / doeboy,yopedd / tetsu,1
mystearica / tastycomawife,tarn / stetlino,0
king james / regralht,yopedd / tetsu,0
people's champ batman / categhetti,mystearica / tastycomawife,1
rickles / dom,king james / regralht,1
mystearica / tastycomawife,king james / regralht,1
chrim foish / san,king james / regralht,0
vondo / vondo,fantac / chance,0
bluepartyhat / jon dog,blade / ozone,1
fogel / swift,slenderman / propane,0
telmo / flo,azo / jno,0
sodrek / abadango,vondo / vondo,0
bc luck / biddy,blade / ozone,0
rango / fatality,fogel / swift,0
yoshi kirishima / nero,telmo / flo,0
sodrek / abadango,bc luck / biddy,0
rango / fatality,yoshi kirishima / nero,0
sodrek / abadango,rango / fatality,0
sodrek / abadango,rango / fatality,0
telmo / flo,fantac / chance,1
fogel / swift,bluepartyhat / jon dog,0
blade / ozone,slenderman / propane,0
vondo / vondo,azo / jno,1
fantac / chance,fogel / swift,1
blade / ozone,azo / jno,0
bc luck / biddy,fogel / swift,0
yoshi kirishima / nero,blade / ozone,0
bc luck / biddy,yoshi kirishima / nero,0
rango / fatality,bc luck / biddy,0
warhound / synder,arc / paco,0
heinzerling / fthear,heydom / starps,1
shadow_foxxd / weegee,dysfunkti0nal / smookums,0
blush / eon,amiiboking313 / blacktactiks,0
zero / nairo,warhound / synder,0
jester / brawlman1000,heydom / starps,0
nom / miloni,shadow_foxxd / weegee,1
darkshadlegend / gne renegade,blush / eon,0
zero / nairo,jester / brawlman1000,0
shadow_foxxd / weegee,darkshadlegend / gne renegade,0
zero / nairo,shadow_foxxd / weegee,0
zero / nairo,darkshadlegend / gne renegade,0
blush / eon,arc / paco,1
nom / miloni,heinzerling / fthear,0
heydom / starps,dysfunkti0nal / smookums,0
warhound / synder,amiiboking313 / blacktactiks,1
arc / paco,nom / miloni,1
heydom / starps,amiiboking313 / blacktactiks,1
jester / brawlman1000,nom / miloni,0
darkshadlegend / gne renegade,amiiboking313 / blacktactiks,0
jester / brawlman1000,darkshadlegend / gne renegade,1
shadow_foxxd / weegee,darkshadlegend / gne renegade,1
dash / ryt€ous,kizu / palushina,0
serge / dux,kups / safety1st,0
op / macarenamacaroni,shevy / xav,1
hovrg / godofgrunts,boofish / apollo,0
bane  / chrome kingfisher,tunn3lsn4k3sru13 / burgei,0
anti / kamemushi,dash / ryt€ous,0
serge / dux,shevy / xav,0
raziek / z,hovrg / godofgrunts,0
carbuncle / jaaahsh,bane  / chrome kingfisher,1
anti / kamemushi,serge / dux,0
raziek / z,bane  / chrome kingfisher,0
anti / kamemushi,raziek / z,0
anti / kamemushi,raziek / z,0
kups / safety1st,op / macarenamacaroni,1
carbuncle / jaaahsh,kizu / palushina,0
hovrg / godofgrunts,op / macarenamacaroni,1
shevy / xav,boofish / apollo,0
dash / ryt€ous,tunn3lsn4k3sru13 / burgei,0
carbuncle / jaaahsh,op / macarenamacaroni,0
shevy / xav,dash / ryt€ous,0
serge / dux,carbuncle / jaaahsh,0
bane  / chrome kingfisher,shevy / xav,0
serge / dux,bane  / chrome kingfisher,0
raziek / z,serge / dux,0
dr.shady / mint,haystack,1
raichu4u / waddle,jibca / cookietic,1
mattatari / zettaslow,#heroxen / otanda,0
af,jbrockpony / duckduckpony,0
pinju / paranoidzoid,vmachine / fadversity,1
mvd / esam,haystack,0
jibca / cookietic,mattatari / zettaslow,0
iceninja / poke,af,0
day / sai,vmachine / fadversity,0
mvd / esam,jibca / cookietic,0
iceninja / poke,day / sai,0
mvd / esam,iceninja / poke,0
mvd / esam,iceninja / poke,0
raichu4u / waddle,#heroxen / otanda,0
vmachine / fadversity,dr.shady / mint,1
af,raichu4u / waddle,1
mattatari / zettaslow,jbrockpony / duckduckpony,1
haystack,pinju / paranoidzoid,0
dr.shady / mint,raichu4u / waddle,1
jbrockpony / duckduckpony,haystack,0
jibca / cookietic,raichu4u / waddle,1
day / sai,jbrockpony / duckduckpony,0
raichu4u / waddle,day / sai,0
iceninja / poke,raichu4u / waddle,0
hawk / linus,generic / pewpewu,0
d-money / vishera,zachisasian / waffleking,0
triple r / danereich,mgf~ / gallyg,0
jakat / dj nintendo,rabbitsoftenerx / lunic,0
komorikiri / supergirlkels,hawk / linus,0
daybreak / slamshady,d-money / vishera,0
6wx / seagull joe,triple r / danereich,0
sofa king / krow,jakat / dj nintendo,0
komorikiri / supergirlkels,daybreak / slamshady,0
6wx / seagull joe,sofa king / krow,0
komorikiri / supergirlkels,6wx / seagull joe,0
komorikiri / supergirlkels,hawk / linus,0
jakat / dj nintendo,generic / pewpewu,0
triple r / danereich,zachisasian / waffleking,0
d-money / vishera,mgf~ / gallyg,0
hawk / linus,rabbitsoftenerx / lunic,0
jakat / dj nintendo,triple r / danereich,1
d-money / vishera,hawk / linus,1
daybreak / slamshady,triple r / danereich,1
sofa king / krow,hawk / linus,1
triple r / danereich,hawk / linus,1
6wx / seagull joe,hawk / linus,1
mew2king / ally,rich brown / aarvark,0
mvd / esam,dkwill / mr.e,0
pugwest / marss,larry lurr / mr.r,0
ryuga / rayquaza07,captainzack / pink fresh,0
mew2king / ally,mvd / esam,0
pugwest / marss,ryuga / rayquaza07,1
mew2king / ally,ryuga / rayquaza07,0
ned / mjg,nasubi / ri-ma,0
wadi / remzi,darkshadlegend / gne renegade,1
rango / fatality,[t.t.d] blacktwins13 / hoh_venom,1
hawk / linus,raziek / z,1
captainzack / pink fresh,ned / mjg,0
larry lurr / mr.r,darkshadlegend / gne renegade,1
dkwill / mr.e,[t.t.d] blacktwins13 / hoh_venom,0
rich brown / aarvark,raziek / z,0
captainzack / pink fresh,darkshadlegend / gne renegade,0
dkwill / mr.e,rich brown / aarvark,0
mvd / esam,captainzack / pink fresh,0
pugwest / marss,dkwill / mr.e,0
mvd / esam,pugwest / marss,0
shadow / adorable knight,cosmos / wrath,1
lingling / kogarasuma,puppeh / chudat,1
cosmos / wrath,samsora / saj,0
komorikiri / supergirlkels,anti / kamemushi,1
komorikiri / supergirlkels,puppeh / chudat,1
puppeh / chudat,iceninja / poke,1
samsora / saj,8bitman / nickriddle,0
samsora / saj,tweek / false,1
zero / nairo,anti / kamemushi,0
void / nakat,anti / kamemushi,1
void / nakat,cosmos / wrath,0
iceninja / poke,void / nakat,0
iceninja / poke,jjrockets / karna,0
sodrek / abadango,void / nakat,1
sodrek / abadango,iceninja / poke,1
true blue / dath,cosmos / wrath,1
true blue / dath,zero / nairo,1
chrim foish / san,8bitman / nickriddle,1
tweek / false,zero / nairo,1
tweek / false,iceninja / poke,1
mew2king / ally,ryuga / rayquaza07,0
zero / nairo,anti / kamemushi,0
mew2king / ally,zero / nairo,1
zero / nairo,mew2king / ally,1
mew2king / ally,zero / nairo,1
mvd / esam,pugwest / marss,1
iceninja / poke,void / nakat,1
anti / kamemushi,pugwest / marss,1
ryuga / rayquaza07,void / nakat,0
pugwest / marss,ryuga / rayquaza07,0
mew2king / ally,pugwest / marss,0
