T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
pizzajokes,quitrage,t brett,a la carte,1,0,2
tot,pizza,eggmcmuffin888,fawnco,0,2,0
studstill,masterhandjob,rockmix,steamfriedasian,0,2,0
jaimehr,superboomfan,t brett,a la carte,0,2,0
daniels,kerokeroppi,shalaka,jason,1,0,2
fox,hipstur,tot,pizza,0,2,0
banze,kort,studstill,masterhandjob,0,2,0
jaimehr,superboomfan,shalaka,jason,0,2,0
fox,hipstur,banze,kort,1,0,2
jaimehr,superboomfan,banze,kort,0,-2,-2
studstill,masterhandjob,pizzajokes,quitrage,0,2,0
daniels,kerokeroppi,eggmcmuffin888,fawnco,0,-2,-2
t brett,a la carte,rockmix,steamfriedasian,0,2,0
studstill,masterhandjob,tot,pizza,0,2,1
daniels,kerokeroppi,t brett,a la carte,0,-2,-2
shalaka,jason,studstill,masterhandjob,1,1,2
fox,hipstur,daniels,kerokeroppi,0,2,0
studstill,masterhandjob,fox,hipstur,0,-2,-2
vanillarin,kl3an,nattyb,p21,c,1,-2,-2
captain l,smurf,grrg,lorenzo,0,-2,-2
tmakk,mokkori,djltheescapade,hatmadder,0,-2,-2
qubit,xor,d-tek,edwin...,0,-2,-2
wario,wangera,nattyb,p21,c,0,2,0
nacl,ctg,captain l,smurf,0,2,1
bark the shark,darkhorse,tmakk,mokkori,0,2,0
ybombb,snorlax,qubit,xor,0,-2,-2
wario,wangera,nacl,ctg,0,2,0
bark the shark,darkhorse,ybombb,snorlax,1,0,2
wario,wangera,ybombb,snorlax,0,-2,-2
qubit,xor,vanillarin,kl3an,0,2,0
tmakk,mokkori,grrg,lorenzo,0,2,1
captain l,smurf,djltheescapade,hatmadder,0,2,0
nattyb,p21,c,d-tek,edwin...,0,2,0
qubit,xor,tmakk,mokkori,1,1,2
captain l,smurf,nattyb,p21,c,0,2,0
nacl,ctg,tmakk,mokkori,0,2,0
bark the shark,darkhorse,captain l,smurf,0,2,0
nacl,ctg,bark the shark,darkhorse,0,-2,-2
sugaaku,annex,duncs,multiball,0,2,0
revan,pidgezero_one,cr0ak,yam$,0,2,0
dwreck,sedda,prime,silentknight,0,2,0
daniel,sheick,giraffe,klms,0,0,-1
isai,rith,sugaaku,annex,0,2,0
lord narwhal,madrush21,revan,pidgezero_one,0,2,0
mariguas,morino,dwreck,sedda,0,2,0
smash jesus,shears,daniel,sheick,0,2,0
isai,rith,lord narwhal,madrush21,0,2,0
mariguas,morino,smash jesus,shears,0,2,0
isai,rith,mariguas,morino,0,-2,-2
daniel,sheick,duncs,multiball,0,2,0
dwreck,sedda,cr0ak,yam$,0,2,1
revan,pidgezero_one,prime,silentknight,0,2,0
sugaaku,annex,giraffe,klms,0,0,-1
daniel,sheick,dwreck,sedda,0,2,1
revan,pidgezero_one,sugaaku,annex,0,2,0
lord narwhal,madrush21,daniel,sheick,0,2,0
smash jesus,shears,revan,pidgezero_one,1,0,2
lord narwhal,madrush21,revan,pidgezero_one,0,-2,-2
nothing,bodacious,aces,drhino,0,2,0
elel,bowl,t0mmii,t1mmy,0,-2,-2
apparition the ambassador,rizner,kitsune,blues,0,2,0
dubs,freean,tvdonk,starchild,0,2,0
tacos,tr3g the z,nothing,bodacious,0,2,0
sotoh,wookiee,elel,bowl,0,2,0
nintendude,fireblaster,apparition the ambassador,rizner,0,2,0
dext3r,pete,dubs,freean,1,1,2
tacos,tr3g the z,sotoh,wookiee,0,2,0
nintendude,fireblaster,dubs,freean,0,2,0
tacos,tr3g the z,nintendude,fireblaster,0,-2,-2
dext3r,pete,aces,drhino,0,2,0
apparition the ambassador,rizner,t0mmii,t1mmy,0,2,0
elel,bowl,kitsune,blues,0,2,0
nothing,bodacious,tvdonk,starchild,1,1,2
dext3r,pete,apparition the ambassador,rizner,0,2,0
elel,bowl,tvdonk,starchild,0,2,0
sotoh,wookiee,dext3r,pete,1,1,2
dubs,freean,elel,bowl,1,1,2
dext3r,pete,elel,bowl,0,-2,-2
jaimehr,superboomfan,banze,kort,0,2,0
tacos,tr3g the z,nintendude,fireblaster,0,2,0
wario,wangera,ybombb,snorlax,0,2,0
isai,rith,mariguas,morino,0,2,0
jaimehr,superboomfan,tacos,tr3g the z,0,3,1
wario,wangera,isai,rith,1,0,3
jaimehr,superboomfan,isai,rith,0,3,1
jaimehr,superboomfan,tacos,tr3g the z,0,3,1
lord narwhal,madrush21,bark the shark,darkhorse,1,1,2
nacl,ctg,revan,pidgezero_one,1,1,2
dext3r,pete,fox,hipstur,0,2,1
elel,bowl,studstill,masterhandjob,0,2,1
nintendude,fireblaster,bark the shark,darkhorse,0,2,0
banze,kort,revan,pidgezero_one,0,2,0
mariguas,morino,dext3r,pete,1,0,2
ybombb,snorlax,elel,bowl,0,2,0
nintendude,fireblaster,banze,kort,0,2,0
dext3r,pete,ybombb,snorlax,0,2,1
wario,wangera,nintendude,fireblaster,0,3,0
tacos,tr3g the z,dext3r,pete,0,3,1
wario,wangera,tacos,tr3g the z,1,2,3
isai,rith,tacos,tr3g the z,1,1,3
