P1,P2,set winner,P1Score,P2Score
bumble,wyzdm,1,1,2
bumble,scabhammer,0,2,0
batista,dennysgrandslambreakfast,0,2,0
batista,solo,0,2,1
z0ra,ri-chi,0,0,-1
dogface,liz,0,2,0
dogface,bumble,0,2,0
solo,cupcake,0,2,0
zeno,scabhammer,1,-1,0
r2z2,arpah,1,1,2
dysfunkti0nal,supermanchunky,1,1,2
captwheatroll,bortogo,1,0,2
suds,zorro,0,2,0
eigen,slim,1,0,2
bell pepper,loveswater,0,2,1
grrg,ccoftw,1,0,2
jepr,batsox,1,0,2
arpah,supermanchunky,1,1,2
bortogo,suds,1,0,2
slim,bell pepper,0,2,0
ccoftw,batsox,0,2,1
supermanchunky,suds,0,2,1
slim,ccoftw,0,2,0
supermanchunky,slim,0,2,0
supermanchunky,slim,0,2,0
r2z2,dysfunkti0nal,1,1,2
captwheatroll,zorro,0,2,1
eigen,loveswater,0,2,1
grrg,jepr,0,2,0
batsox,dysfunkti0nal,0,2,1
bell pepper,captwheatroll,1,-1,0
bortogo,eigen,0,2,1
arpah,grrg,0,2,1
batsox,captwheatroll,0,2,0
bortogo,arpah,1,1,2
suds,batsox,1,1,2
ccoftw,arpah,0,2,1
batsox,ccoftw,0,2,0
slim,batsox,0,2,0
megaamoonguss,pushin,0,2,0
pcgbones,kitkat,0,2,0
agahnim,slurmp,0,2,0
wei,rose,0,2,0
marky,inzane,1,0,2
jlo,gooby,0,2,0
icefang,gucci,0,2,0
hoofarted,land28h,1,0,2
megaamoonguss,pcgbones,1,0,2
agahnim,wei,1,0,2
inzane,jlo,1,0,2
icefang,land28h,0,2,0
pcgbones,wei,0,2,1
jlo,icefang,0,2,0
pcgbones,jlo,1,0,2
jlo,pcgbones,0,2,1
pushin,kitkat,1,1,2
slurmp,rose,1,1,2
marky,gooby,1,-1,0
gucci,hoofarted,1,0,2
land28h,kitkat,0,2,0
inzane,rose,0,2,0
agahnim,gooby,1,-1,0
megaamoonguss,hoofarted,0,2,0
land28h,inzane,1,0,2
gooby,megaamoonguss,1,0,2
wei,inzane,0,2,1
icefang,megaamoonguss,0,2,0
wei,icefang,1,0,2
pcgbones,icefang,0,2,0
evan,thesneakiestbeaver,0,2,0
weirdo dunno,nyck,0,2,0
henry,kingu,0,2,1
moku,20xx,0,2,1
kiri,busy p,0,2,0
mre,tyle,1,0,2
the end,forte,0,2,0
fresh milk,big l,0,2,1
evan,weirdo dunno,0,2,0
henry,moku,0,2,1
kiri,tyle,0,0,-1
the end,fresh milk,1,0,2
evan,henry,1,0,2
kiri,fresh milk,1,0,2
henry,fresh milk,0,2,1
henry,evan,1,1,2
evan,henry,1,1,2
thesneakiestbeaver,nyck,0,2,1
kingu,20xx,0,2,0
busy p,mre,1,0,2
forte,big l,1,1,2
the end,thesneakiestbeaver,0,2,0
tyle,kingu,1,-1,0
moku,mre,0,2,0
weirdo dunno,big l,0,2,0
the end,kingu,0,2,0
moku,weirdo dunno,1,0,2
evan,the end,0,2,0
kiri,weirdo dunno,1,0,2
evan,weirdo dunno,0,2,0
fresh milk,evan,1,0,2
trout oracle,humble,0,2,0
lalo,swankeaboo,0,2,1
rose,tace,1,1,2
grainless,qtip,1,0,2
larfen,inzane,0,2,1
ritz,cashew,0,2,0
.mov,gooby,0,0,-1
carpet,loncas,0,0,-1
trout oracle,lalo,0,2,0
tace,qtip,0,2,1
larfen,ritz,0,2,0
.mov,carpet,1,1,2
trout oracle,tace,1,0,2
larfen,carpet,0,2,0
tace,larfen,1,1,2
larfen,qtip,0,2,0
humble,swankeaboo,1,1,2
rose,grainless,0,2,1
