P1,P2,set winner,P1Score,P2Score
steven,magicalhatsdx,1,-1,0
xnpio,real,0,-2,-2
dimsum,blanky,0,2,0
magicalhatsdx,xnpio,0,2,0
landry!,dimsum,1,0,2
vorpal,magicalhatsdx,1,0,2
dimsum,magicalhatsdx,1,1,2
kei,magicalhatsdx,0,-2,-2
viper,bravo,0,2,0
glitchbird,yung_stalin,0,2,0
yung young,huggermugger,1,-1,0
slumped,guillermoose,0,2,0
kanye rest,cpwho,0,2,0
iroga,c2,1,0,2
yakal,viper,0,2,0
glitchbird,huggermugger,0,2,0
sailormoon420,slumped,0,2,0
kanye rest,c2,0,2,0
yakal,glitchbird,0,2,0
sailormoon420,kanye rest,0,2,1
yakal,sailormoon420,0,2,0
yung_stalin,yung young,0,0,-1
cpwho,iroga,0,2,0
c2,bravo,0,2,0
slumped,yung_stalin,0,2,0
huggermugger,guillermoose,0,2,0
viper,cpwho,1,0,2
c2,slumped,1,0,2
huggermugger,cpwho,0,2,0
glitchbird,slumped,0,2,0
kanye rest,huggermugger,0,2,0
glitchbird,kanye rest,0,2,0
sailormoon420,glitchbird,0,-2,-2
michaelmichaelmotorcycle,klms,0,2,0
noro,moti,0,2,0
horse marth,surge,1,1,2
zander,naminker,0,2,0
dilla,rca,0,2,0
jucotastic,elliot,1,0,2
delphiki,michaelmichaelmotorcycle,0,2,0
noro,surge,1,0,2
sol,zander,0,2,0
dilla,elliot,0,2,0
delphiki,surge,0,2,0
sol,dilla,0,2,0
delphiki,sol,0,2,0
moti,horse marth,1,0,2
rca,jucotastic,0,2,0
elliot,klms,0,2,1
zander,horse marth,0,2,1
noro,naminker,1,0,2
michaelmichaelmotorcycle,rca,1,0,2
elliot,zander,1,0,2
naminker,rca,1,0,2
surge,zander,1,0,2
dilla,rca,0,2,0
zander,dilla,1,0,2
sol,dilla,0,-2,-2
double a battery,habilecho,1,0,2
peebah,evan,1,0,2
nanz,boscotty,0,2,0
bdn,slartibartfast42,1,0,2
akared,spiderbubble,0,2,0
zemcitrus,captain schfifty,1,0,2
balloon,habilecho,0,2,0
evan,nanz,0,2,1
potato,slartibartfast42,0,2,1
akared,captain schfifty,1,0,2
balloon,evan,0,2,0
potato,captain schfifty,0,2,0
balloon,potato,1,1,2
peebah,boscotty,1,0,2
spiderbubble,zemcitrus,1,0,2
akared,double a battery,0,2,1
slartibartfast42,boscotty,0,2,0
nanz,bdn,1,1,2
habilecho,zemcitrus,1,0,2
akared,slartibartfast42,1,0,2
bdn,zemcitrus,1,0,2
evan,slartibartfast42,1,0,2
captain schfifty,zemcitrus,0,2,1
slartibartfast42,captain schfifty,0,2,0
balloon,slartibartfast42,0,-2,-2
tome,logos,1,0,2
enterthekiwi,/b/l/a/d/e/,0,2,0
cryo,songbird,0,2,0
argonaut1,amrit,0,0,-1
