name,finalPlacement
brokenyew,33
tater,257
cubansandwich,97
le fou,129
oc zack,65
rossu,513
diltune,513
jeez,513
dad,257
chucknasty,385
sabo,257
jiffy,385
vice,193
ridz,97
who?,129
mattyice,97
fudgeface,513
booteking,193
kem0therapy,513
saint shaden,257
the moon,17
rog,129
swagbag,513
le toucan,257
the running banana,513
proga,385
captain smuckers,33
jellyman64,513
jabs,193
testament,65
sampai,513
jrrd,513
nix,129
legion,513
maverick,385
pop$,97
ilskowa,257
mrlz,65
flashburn 117,193
the fractal effect,513
kaike,65
xif,49
j$727,193
rayburn,257
vsc al_bouggie,513
emt_sol,49
eric,129
n0ne,17
dr. phil,385
mrbenready,129
jonpon,513
darkgenex,193
onehandbackhand,513
zectron,513
icon,257
rudolph,193
[n],513
kiddo,385
dingo,97
whack,513
brochill,385
k1ngcr0w,385
fuddyduddy,129
mop,193
visuals,513
ballz d33p,513
fieryvale47,513
jbomb,129
rhan,193
rob$,193
kepa,513
it's a wonderful world,65
renegade!,385
plup,4
50k!,513
vro,49
sabz,193
lucky,13
slow,193
frootloop,33
risu,513
ambition,193
seabass,513
dr. poonanny,257
chipgroove,65
mineshaft798,513
frio,513
eric,97
emukiller,65
kälte,385
pretzelguy,257
malcodafalco,97
bdr,97
alan,65
shroomed,5
ad,385
flaf,257
duke,513
racci,385
fraudzilla,513
rstevoa,513
kirito green,385
phoenix2448,385
warriorknight,49
glistening,513
shake,385
elemental,257
abaasy,385
gawes,65
stonerocks,385
broasty,257
somethingugly,385
dairdev1l,193
candyman!,385
fluid,513
harrisondorf,513
dublin,257
dashdancedan,129
brimiq,385
prinny,385
sigh,193
help,513
yeroc,129
sickroy,257
gingerjesus,513
pewpewu,9
perciprius,513
nilesly,257
swordz,513
depressed eagle,513
whichkraft,385
sheepdog,513
jaxin,257
pawn,385
dp's mario,65
shieldz,513
aozorax,97
tomp,513
westbreezy,257
c^2,513
anjel,257
juggleguy,129
beegs,193
ruse,385
bakon,257
royal,385
ketchupnmustard,513
zora,385
joebags,257
flimwad,257
calvin,257
s2j,17
nintendude,13
chewy,257
griz,513
2salty,513
gzlrgzlr,385
frames,513
kamikaze,257
yort,129
ringler,257
lean,193
swedish delight,9
r0cky,513
smashdad,129
septagons,257
o,193
nasan,385
saucytho,129
sassmaster,193
sizzler,385
dilly,385
apop99,513
rjw,193
sr-cue,193
pyro,257
sinbad,49
a rookie,25
teach,257
gahtzu,13
ocelot,513
masterbravo,193
shaggy,385
takedown53,257
ralphanese,257
nightmare,17
omar,513
noble,257
cdrom,385
donny p.,257
-1up,513
jonnyfox,385
emb,385
laudandus,13
the king,257
thatkawaiiguy,257
fizzi,257
