P1,P2,set winner,P1Score,P2Score
den,zilyn,1,0,2
dashdancedan,marriott moy,1,0,2
zilyn,marriott moy,0,2,1
moogle,zilyn,0,-2,-2
toucan,der_hund,1,0,2
shenanigans,it's_ogre~,0,2,0
wizzrobe,der_hund,0,2,0
phrigid,citrus,1,0,2
l81,wezl,1,1,2
kiwi,highwalker,1,1,2
kpan,shenanigans,0,2,0
tanner,notlightningrunner,0,2,1
dairdev1l,arcana_force,0,0,-1
genesis,k.i.d ace,1,0,2
wizzrobe,citrus,0,2,0
wezl,highwalker,0,2,0
kpan,tanner,0,2,0
dairdev1l,k.i.d ace,0,2,0
wizzrobe,wezl,0,2,0
kpan,dairdev1l,0,2,0
wizzrobe,kpan,0,2,1
genesis,toucan,0,2,0
kiwi,it's_ogre~,0,2,0
genesis,arcana_force,0,0,-1
notlightningrunner,shenanigans,1,0,2
kiwi,l81,1,0,2
phrigid,der_hund,1,0,2
highwalker,genesis,1,0,2
citrus,shenanigans,0,2,0
k.i.d ace,l81,0,2,0
tanner,der_hund,1,0,2
genesis,citrus,1,1,2
k.i.d ace,der_hund,1,1,2
dairdev1l,citrus,0,2,0
wezl,der_hund,1,0,2
dairdev1l,der_hund,0,2,0
kpan,dairdev1l,0,-2,-2
the candyman!!!,dove,1,0,2
meso,skin ticket,0,2,0
duck,dove,0,2,0
mole,salfam,0,2,0
eradicator,compton,1,1,2
hunterlittle,l,1,0,2
j00t,meso,0,2,0
derpy,3flip,1,1,2
toastyb,pizza,0,2,0
$pud,boozki,0,2,0
duck,mole,0,2,0
compton,l,0,2,0
j00t,3flip,0,2,0
toastyb,$pud,0,2,0
duck,compton,0,2,0
j00t,toastyb,0,2,0
duck,j00t,0,2,1
boozki,the candyman!!!,1,0,2
hunterlittle,skin ticket,1,0,2
the candyman!!!,pizza,1,0,2
derpy,meso,0,2,1
skin ticket,eradicator,1,0,2
salfam,dove,1,0,2
l,pizza,1,0,2
mole,derpy,0,2,1
$pud,eradicator,1,0,2
3flip,dove,1,0,2
pizza,mole,0,2,0
eradicator,dove,0,2,0
toastyb,pizza,0,2,0
compton,eradicator,1,1,2
toastyb,eradicator,0,2,1
j00t,toastyb,0,-2,-2
harriet tubman,samb,0,2,1
mothra,korova,0,2,0
colbol,harriet tubman,0,2,0
ramenshaman,maus,1,0,2
magi,8oz,0,2,0
vavv,big time rush,0,2,0
reeve,mothra,0,2,0
richard,raccoon wizard,1,-1,0
xiivi,sassmaster,1,1,2
soulster,wepeel,0,2,0
colbol,maus,0,2,0
magi,vavv,0,2,0
reeve,raccoon wizard,0,2,0
sassmaster,soulster,1,-1,0
colbol,magi,0,2,0
reeve,soulster,0,2,0
colbol,reeve,0,2,0
wepeel,samb,0,2,0
big time rush,korova,0,2,0
wepeel,xiivi,1,1,2
richard,mothra,1,-1,0
big time rush,8oz,0,2,0
ramenshaman,harriet tubman,1,1,2
vavv,xiivi,1,1,2
maus,mothra,1,1,2
sassmaster,big time rush,0,2,0
raccoon wizard,harriet tubman,0,2,1
xiivi,mothra,0,2,0
sassmaster,raccoon wizard,0,2,0
soulster,xiivi,1,0,2
magi,sassmaster,0,2,0
xiivi,magi,1,0,2
reeve,magi,0,-2,-2
butt aldrin,dom,0,0,-1
zaz,moo,0,2,1
dizzkidboogie,butt aldrin,0,2,0
papa nooch,ryko,1,0,2
dezno,hyper,0,2,1
bonsaiwarrior,025,0,2,0
lanceinthepants,zaz,0,2,0
young will,benjahls,1,-1,0
luigigoshard,j-roc,0,2,0
chililtf,toucan sam,0,2,0
dizzkidboogie,ryko,0,2,0
dezno,bonsaiwarrior,0,2,1
lanceinthepants,benjahls,0,0,-1
luigigoshard,chililtf,0,2,0
dizzkidboogie,dezno,0,2,0
lanceinthepants,luigigoshard,0,2,0
dizzkidboogie,lanceinthepants,0,2,0
toucan sam,dom,0,0,-1
025,moo,1,0,2
toucan sam,j-roc,0,2,0
young will,zaz,1,-1,0
moo,hyper,0,2,0
papa nooch,butt aldrin,0,2,0
bonsaiwarrior,toucan sam,0,2,0
ryko,zaz,0,2,0
chililtf,moo,1,0,2
benjahls,papa nooch,1,-1,0
bonsaiwarrior,ryko,0,2,1
moo,papa nooch,1,1,2
luigigoshard,bonsaiwarrior,0,2,0
dezno,papa nooch,0,2,0
luigigoshard,dezno,0,2,0
lanceinthepants,luigigoshard,0,-2,-2
photonic,mantis,1,1,2
triple c,moye,0,2,0
druggedfox,mantis,0,2,0
dad nuggets,paladin,1,0,2
zzz,sweaters,0,2,0
forerunner,maui howy,0,2,1
wenbobular,triple c,0,2,0
bitch-sensei,seeze,1,0,2
sharkz,radeon,0,2,0
shu shine,sudofox,0,2,0
druggedfox,paladin,0,2,0
zzz,forerunner,1,1,2
wenbobular,seeze,0,2,0
sharkz,shu shine,0,2,0
druggedfox,forerunner,0,2,0
wenbobular,sharkz,0,2,0
druggedfox,wenbobular,0,2,0
sudofox,photonic,1,0,2
maui howy,moye,0,2,0
photonic,radeon,0,2,0
bitch-sensei,triple c,1,0,2
maui howy,sweaters,1,0,2
dad nuggets,mantis,1,0,2
zzz,photonic,1,0,2
paladin,triple c,1,1,2
shu shine,sweaters,0,2,1
seeze,mantis,0,2,1
photonic,triple c,0,2,0
shu shine,seeze,0,2,0
sharkz,photonic,0,2,0
forerunner,shu shine,1,0,2
sharkz,shu shine,0,2,0
wenbobular,sharkz,0,-2,-2
slock,iroh,0,2,0
bread,milkmuffinman,0,2,0
the moon,slock,0,2,0
murphy,black knight,1,0,2
cookiemonsta,clintbeastwood,0,2,0
atm,knitl0rd,1,0,2
little england,bread,0,2,0
caup,sheikmaster,0,2,0
vts,cfoy,1,-1,0
gucci swag gubu,ringler,0,0,-1
the moon,black knight,0,2,0
cookiemonsta,knitl0rd,0,2,0
little england,caup,0,2,1
cfoy,gucci swag gubu,0,2,0
the moon,cookiemonsta,0,2,0
little england,cfoy,0,2,0
the moon,little england,0,2,0
ringler,iroh,1,-1,0
atm,milkmuffinman,1,1,2
iroh,vts,0,0,-1
sheikmaster,bread,1,0,2
milkmuffinman,clintbeastwood,0,2,0
murphy,slock,1,-1,0
knitl0rd,iroh,0,2,0
black knight,bread,1,0,2
gucci swag gubu,milkmuffinman,1,0,2
caup,slock,0,2,0
knitl0rd,bread,1,0,2
milkmuffinman,caup,1,0,2
cfoy,bread,1,0,2
cookiemonsta,caup,1,0,2
bread,caup,1,1,2
little england,caup,0,-2,-2
baeblade,$wank,0,2,0
bees?,yogi,0,2,0
prince abu,baeblade,0,2,0
pythagoras,josesanmansquito,1,0,2
arby,cortez,0,2,0
jim jam flim flam,freeman,0,2,0
shinobi,bees?,0,2,0
unoriginal,greenmario,1,0,2
schythed,sirencresselia,0,2,0
jcpwn,whims,0,2,0
