P1, P2, set winner
the moon,dalius,0
ju4n,slush,0
the moon,ju4n,0
hyphy,jebailey,1
homestar,kannonzz,0
lordtoko,triumph,1
$nooze,wartle,0
jebailey,homestar,1
triumph,$nooze,1
dalius,homestar,1
slush,$nooze,0
homestar,slush,1
ju4n,slush,0
kob,tsundere,0
chrispcream,deenuna,1
squire,poskii,0
dyldoge,shadowzw,1
taj,kob,0
strawberry love,deenuna,1
yardsale,squire,1
coyote,shadowzw,0
taj,deenuna,0
squire,coyote,1
taj,coyote,0
shadowzw,tsundere,0
yardsale,chrispcream,0
strawberry love,poskii,1
kob,dyldoge,0
shadowzw,yardsale,0
poskii,kob,0
deenuna,shadowzw,0
squire,poskii,1
deenuna,poskii,0
coyote,deenuna,0
farks,jzee,0
ren,boston's finest,1
linkguy23,mr.bones,1
badger,helm,1
tai,farks,0
high-c,boston's finest,1
dmac,mr.bones,1
modem,helm,0
tai,boston's finest,0
mr.bones,modem,1
tai,modem,0
helm,jzee,1
dmac,ren,0
high-c,linkguy23,0
farks,badger,0
jzee,dmac,0
high-c,farks,1
boston's finest,jzee,0
mr.bones,farks,1
boston's finest,farks,1
modem,farks,0
the wash,everstorm,0
gemini,datnero,0
slickis,b4y6,0
slickah,coin,0
frootloop,the wash,0
bwunt,gemini,1
aaronscaring,slickis,0
salty seth,slickah,0
frootloop,gemini,0
aaronscaring,salty seth,1
frootloop,salty seth,0
slickah,everstorm,0
slickis,datnero,0
bwunt,b4y6,0
the wash,coin,1
slickah,slickis,0
bwunt,coin,1
gemini,slickah,0
aaronscaring,coin,0
gemini,aaronscaring,0
salty seth,gemini,0
coffeemug,legion,1
pistallion,zantpowa,1
n7,mufasa,0
mew2queen,shum,0
abszol,slyben,0
tafokints,legion,0
zantpowa,n7,1
shabo,mew2queen,0
yeroc,abszol,0
tafokints,n7,0
shabo,yeroc,0
tafokints,shabo,0
pistallion,mufasa,1
abszol,coffeemug,1
mew2queen,mufasa,0
zantpowa,shum,1
legion,slyben,0
coffeemug,mew2queen,1
shum,legion,1
n7,mew2queen,1
yeroc,legion,1
mew2queen,legion,1
shabo,legion,0
puddle,w1sh,0
| dope,dudeofhazardz,0
colonel dog,thrive,0
majesticwood,skrai,1
fuzzyness,puddle,0
asscastle,| dope,1
dre,colonel dog,1
thunderpaste,skrai,1
fuzzyness,| dope,0
colonel dog,skrai,0
fuzzyness,colonel dog,0
thunderpaste,w1sh,1
dre,dudeofhazardz,0
asscastle,thrive,0
puddle,majesticwood,0
w1sh,dre,1
asscastle,puddle,1
| dope,dre,0
skrai,puddle,1
| dope,puddle,0
colonel dog,| dope,0
life,r & r,1
regi$ philbin,cow,1
a link named slykbacc,nost,0
