p1,p2,finalPlacement
redlime,born 2 sd,49
nibble,kayrosho,33
tag,zht,13
shido,teluoborg,9
pad,emperor,33
fisk,rastabru,25
chard,bollefar,9
mm720,losviken,49
evilized,jenzo,17
zartzu,kekkeri,9
legic,frenzy,25
ixisnaugus,c.r.z,4
pz,tiberius,17
nintendork,taiki,49
kasparno,laffen,33
mr.r,badr,1
scarlet,vesp,25
boombucket,rullekake,33
lunar,z,33
izaw,smashsk,5
zplatter,mumfy,25
athic blaze,libeck,17
sky,dinner,33
lirnesu,gray,9
devilgamer,the legendary food,49
hal_9000,bach,17
theepicpirate,g-sen,33
call_of_cow,johsyjam,49
istudying,gregs,2
shing,k2dh,33
joat,urg,33
endeby,i lift,17
glitch,metanoia,33
ulf,fat pepol,17
koji,jm,17
vetikke,hammern,49
sjaleks,veghard,49
lufos,quepasacontigo,33
kanaribird,jibbmil,33
whoophee,riksto,7
rekzius,vaataji,13
gardex,wiiase,5
pangu,queen,25
m,miguel,3
dragmire jr,nanite,25
proxer,terrorcheese,49
hobolord,drolo,25
warheart,deo,7
lentross,suntherion,13
g3,dw,33
willz,loz,25
spongeofdoom,pact,33
tun,grøten,33
taclite,revilox,49
snasen,bryggiz,17
jumper!,gerdef,33
spyroul,thymeballoon,13
