T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
brambramjam,axiem,specialspaceboy,slenda man,1,-2,-2
nappums,duffy,emerald,darsa,0,-2,-2
unknown,wraith,shyguy,aerialace,0,-2,-2
playz,spidertaints,specialspaceboy,slenda man,0,-2,-2
nappums,duffy,unknown,wraith,1,-2,-2
riot,peachkid,playz,spidertaints,0,-2,-2
royal,tarn,unknown,wraith,1,-2,-2
riot,peachkid,unknown,wraith,0,-2,-2
pelca,kiwi,riot,peachkid,0,-2,-2
vudoo,reminae,minty,imjk,0,-2,-2
kogarasuma,doeboy,nintendorknick,blakob,0,-2,-2
kingkirby,wizdorf,akemi,maki,0,-2,-2
godx,culley,quak,potato,0,-2,-2
mr. escalator,kuma,swerve,gp2,0,-2,-2
hark,pilgrim,sparky,el niño,0,-2,-2
koolaid,pugwest,vudoo,reminae,0,-2,-2
kogarasuma,doeboy,kingkirby,wizdorf,0,-2,-2
lingling,light,godx,culley,0,-2,-2
mr. escalator,kuma,hark,pilgrim,0,-2,-2
koolaid,pugwest,kogarasuma,doeboy,0,-2,-2
lingling,light,mr. escalator,kuma,0,-2,-2
koolaid,pugwest,lingling,light,1,-2,-2
nintendorknick,blakob,akemi,maki,1,-2,-2
swerve,gp2,sparky,el niño,0,-2,-2
hark,pilgrim,minty,imjk,0,-2,-2
godx,culley,akemi,maki,0,-2,-2
kingkirby,wizdorf,quak,potato,0,-2,-2
vudoo,reminae,swerve,gp2,0,-2,-2
hark,pilgrim,godx,culley,0,-2,-2
kingkirby,wizdorf,vudoo,reminae,1,-2,-2
kogarasuma,doeboy,hark,pilgrim,0,-2,-2
mr. escalator,kuma,vudoo,reminae,0,-2,-2
kogarasuma,doeboy,mr. escalator,kuma,1,-2,-2
koolaid,pugwest,mr. escalator,kuma,0,-2,-2
depsyfer,iceunleashed,esid,mino,0,2,1
æon,game7a1,sauce,wheaty,0,2,0
fs shampoomaster,fs mook,failz,dreamz,0,2,0
small•loan,yume,night,fantm,0,2,0
pwnagepolice,siccarius,lim,larock,0,2,0
vp,xorn,michael,danielle,0,2,0
dyr,spark,depsyfer,iceunleashed,0,2,0
æon,game7a1,fs shampoomaster,fs mook,1,0,2
k.i.d.goggles,pikapika!,small•loan,yume,1,-1,0
pwnagepolice,siccarius,vp,xorn,1,0,2
dyr,spark,fs shampoomaster,fs mook,0,2,0
small•loan,yume,vp,xorn,1,1,2
dyr,spark,vp,xorn,0,2,0
sauce,wheaty,failz,dreamz,1,0,2
lim,larock,michael,danielle,1,0,2
pwnagepolice,siccarius,esid,mino,0,2,0
k.i.d.goggles,pikapika!,failz,dreamz,1,-1,0
æon,game7a1,night,fantm,0,2,0
depsyfer,iceunleashed,michael,danielle,0,2,0
pwnagepolice,siccarius,failz,dreamz,0,2,0
æon,game7a1,depsyfer,iceunleashed,0,2,0
fs shampoomaster,fs mook,pwnagepolice,siccarius,0,2,1
small•loan,yume,æon,game7a1,1,0,2
fs shampoomaster,fs mook,æon,game7a1,1,0,2
vp,xorn,æon,game7a1,0,-2,-2
ralon,lord skitty,waxy~dad,waxy:joe,0,2,0
greatscot!,glare,veovis,eastly,0,2,0
dtd,light,arhungry,glentendo,0,2,1
bear,plusle,fwed,z,1,0,2
airei,element_demon,echurch,ghostdadd,0,0,-1
w0lf,clipboards,nert,chambo,0,2,0
mekos,mr.e,ralon,lord skitty,0,2,0
greatscot!,glare,dtd,light,0,2,0
dath,nickriddle,fwed,z,0,2,0
airei,element_demon,w0lf,clipboards,0,2,0
mekos,mr.e,greatscot!,glare,0,2,0
dath,nickriddle,airei,element_demon,0,2,0
mekos,mr.e,dath,nickriddle,1,0,2
veovis,eastly,arhungry,glentendo,1,0,2
echurch,ghostdadd,nert,chambo,1,-1,0
w0lf,clipboards,waxy~dad,waxy:joe,0,2,0
fwed,z,arhungry,glentendo,0,2,0
dtd,light,bear,plusle,0,2,0
ralon,lord skitty,nert,chambo,0,2,0
w0lf,clipboards,fwed,z,1,0,2
dtd,light,ralon,lord skitty,0,2,0
greatscot!,glare,fwed,z,0,2,0
airei,element_demon,dtd,light,1,1,2
greatscot!,glare,dtd,light,1,0,2
mekos,mr.e,dtd,light,0,-2,-2
anti,mew2king,dath,nickriddle,0,2,0
jjrockets,starbasedfruit,6wx,supergirlkels,0,2,1
larry lurr,marss,dyr,spark,1,0,2
esam,zero,lingling,light,0,2,0
anti,mew2king,jjrockets,starbasedfruit,0,3,0
dyr,spark,esam,zero,1,0,3
anti,mew2king,esam,zero,0,3,2
anti,mew2king,esam,zero,0,3,0
koolaid,pugwest,ntarps,maverick,0,2,0
icearrow,darkaura,riot,peachkid,1,-1,0
vp,xorn,chavo,ajax,1,1,2
burst,craftis,dtd,light,1,0,2
pelca,kiwi,tsage,red beef baron,0,2,0
meccs,fiercetaint,mr. escalator,kuma,1,1,2
mekos,mr.e,tkbreezy,jayy,0,2,0
hazmatt,epm,æon,game7a1,0,2,0
koolaid,pugwest,riot,peachkid,0,2,0
chavo,ajax,dtd,light,0,2,1
pelca,kiwi,mr. escalator,kuma,0,2,0
mekos,mr.e,hazmatt,epm,0,2,0
6wx,supergirlkels,koolaid,pugwest,0,2,0
dath,nickriddle,chavo,ajax,0,2,0
lingling,light,pelca,kiwi,0,2,1
larry lurr,marss,mekos,mr.e,1,1,2
6wx,supergirlkels,dath,nickriddle,1,0,3
lingling,light,mekos,mr.e,1,2,3
dyr,spark,dath,nickriddle,1,1,3
jjrockets,starbasedfruit,mekos,mr.e,1,0,3
dath,nickriddle,mekos,mr.e,1,1,3
esam,zero,mekos,mr.e,0,3,2
