T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
zectron,dadlegs,chez,d_b_s,1,-2,-2
lingling,s@nt,seren,kamikaze,0,-2,-2
dekillsage,deven3000,icearrow,adam grakowsky,0,-2,-2
mint,mcdareth,rent,blazehawk,1,-2,-2
meowmix,yld,chez,d_b_s,1,-2,-2
lingling,s@nt,dekillsage,deven3000,1,-2,-2
rent,blazehawk,chez,d_b_s,1,-2,-2
ksev,zinoto,dekillsage,deven3000,0,-2,-2
eden,wormynugget,chez,d_b_s,0,-2,-2
ksev,zinoto,eden,wormynugget,0,-2,-2
day,all might,ksev,zinoto,1,-2,-2
zurak,kazu,virgman,ookami,0,2,1
domin0,aeryn,morendo,salty boi johns,1,-2,-2
ace,cd,splurf,somnium,0,-2,-2
philshoes,pablo,mray,mightgalo,1,-2,-2
lupasan,shadow behemoth,warhound,fox,1,-2,-2
rocket,i,cerogero,cass,0,-2,-2
e,vitamin,babycakes,bulacaflocka,0,-2,-2
zero,nairo,zurak,kazu,0,-2,-2
turtles,pudd,clyde,ktdominate,0,-2,-2
raziek,player-3,morendo,salty boi johns,0,-2,-2
acid,logic,ace,cd,0,-2,-2
xaltis,dj jack,mray,mightgalo,0,-2,-2
afmbot,fil,warhound,fox,0,-2,-2
samsora,captainzack,rocket,i,0,-2,-2
jjrockets,starbasedfruit,e,vitamin,0,-2,-2
zero,nairo,turtles,pudd,0,-2,-2
raziek,player-3,acid,logic,0,-2,-2
xaltis,dj jack,afmbot,fil,0,-2,-2
samsora,captainzack,jjrockets,starbasedfruit,1,-2,-2
zero,nairo,raziek,player-3,0,-2,-2
xaltis,dj jack,jjrockets,starbasedfruit,1,-2,-2
zero,nairo,jjrockets,starbasedfruit,0,-2,-2
zero,nairo,jjrockets,starbasedfruit,0,-2,-2
e,vitamin,virgman,ookami,1,-2,-2
warhound,fox,domin0,aeryn,1,-2,-2
mray,mightgalo,splurf,somnium,0,-2,-2
ace,cd,philshoes,pablo,0,-2,-2
morendo,salty boi johns,lupasan,shadow behemoth,0,-2,-2
clyde,ktdominate,cerogero,cass,1,-2,-2
zurak,kazu,babycakes,bulacaflocka,0,-2,-2
virgman,ookami,rocket,i,0,-2,-2
domin0,aeryn,mray,mightgalo,1,-2,-2
ace,cd,morendo,salty boi johns,0,-2,-2
cerogero,cass,zurak,kazu,1,-2,-2
acid,logic,virgman,ookami,0,-2,-2
turtles,pudd,mray,mightgalo,0,-2,-2
samsora,captainzack,ace,cd,0,-2,-2
afmbot,fil,zurak,kazu,1,-2,-2
acid,logic,turtles,pudd,0,-2,-2
samsora,captainzack,zurak,kazu,0,-2,-2
xaltis,dj jack,acid,logic,0,-2,-2
raziek,player-3,samsora,captainzack,1,-2,-2
xaltis,dj jack,samsora,captainzack,0,-2,-2
jjrockets,starbasedfruit,xaltis,dj jack,0,-2,-2
nexas,jmgata,shinigami,vatra,1,0,2
kirito,jntabeast,hiro,wispbae,0,2,1
the forkies,sc,j.t.c.,richgang,pk kid,1,0,2
sithpunk,sensei,harlock,biglou,1,0,2
hawlu,viv,danstrife,zen,1,0,2
mystic,senasupreme,platomaker,harmonix,1,1,2
8,cpu-10,athena21,neon ness,0,2,0
dabuz,hyuga,shinigami,vatra,0,2,0
dkayy,softbleach,czechm8,pthas,1,1,2
true blue,dath,kirito,jntabeast,0,2,0
j-breeze,sect,richgang,pk kid,0,2,1
6wx,karna,harlock,biglou,1,1,2
saj,craziecuban,danstrife,zen,0,2,0
z,vash,platomaker,harmonix,0,2,0
tantalus,zephyr,8,cpu-10,0,2,0
dabuz,hyuga,czechm8,pthas,0,2,0
true blue,dath,j-breeze,sect,0,2,0
harlock,biglou,saj,craziecuban,0,-2,-2
z,vash,tantalus,zephyr,0,2,0
dabuz,hyuga,true blue,dath,0,-2,-2
harlock,biglou,z,vash,1,0,2
dabuz,hyuga,z,vash,0,-2,-2
dabuz,hyuga,z,vash,0,-2,-2
8,cpu-10,nexas,jmgata,0,2,0
danstrife,zen,hiro,wispbae,0,-2,-2
6wx,karna,the forkies,sc,j.t.c.,0,2,0
richgang,pk kid,sithpunk,sensei,0,2,0
kirito,jntabeast,hawlu,viv,0,2,0
dkayy,softbleach,mystic,senasupreme,0,-2,-2
shinigami,vatra,athena21,neon ness,0,2,0
8,cpu-10,platomaker,harmonix,0,2,1
danstrife,zen,6wx,karna,1,-2,-2
richgang,pk kid,kirito,jntabeast,1,1,2
dkayy,softbleach,shinigami,vatra,0,2,0
j-breeze,sect,8,cpu-10,0,-2,-2
czechm8,pthas,6wx,karna,1,-2,-2
tantalus,zephyr,kirito,jntabeast,0,-2,-2
saj,craziecuban,dkayy,softbleach,0,-2,-2
j-breeze,sect,6wx,karna,1,-2,-2
tantalus,zephyr,saj,craziecuban,0,-2,-2
harlock,biglou,6wx,karna,0,-2,-2
true blue,dath,tantalus,zephyr,0,-2,-2
harlock,biglou,true blue,dath,1,-2,-2
z,vash,true blue,dath,0,-2,-2
zae26,yuki,zesty_lemons,combust,0,2,0
tkoverkill,dreddboy,doc!!,senketsu,1,0,2
pikpocket,electron,tony,yucas,0,2,0
el chapo,quesalupa,phyence,kirbyrocket,0,2,0
smoof,emmgee,mask,the pouch,1,0,2
sporkslinger,vindictator,jrrd,star99,1,1,2
tonyfinale,torchtobin,bruh,hyperlink,1,0,2
marss,pugwest,zae26,yuki,0,2,0
goon,tremendo dude,xmas,zeta,1,1,2
seagull joe,c3po,doc!!,senketsu,0,2,0
rich brown,day,pikpocket,electron,0,2,0
mr.e,dkwill,el chapo,quesalupa,0,2,0
jak,j12,mask,the pouch,0,2,0
nickriddle,seibrik,jrrd,star99,0,2,0
rango,jda7,bruh,hyperlink,0,2,0
marss,pugwest,xmas,zeta,0,2,0
seagull joe,c3po,rich brown,day,1,1,2
mr.e,dkwill,jak,j12,0,2,1
nickriddle,seibrik,rango,jda7,0,2,0
marss,pugwest,rich brown,day,0,2,0
mr.e,dkwill,nickriddle,seibrik,0,2,0
marss,pugwest,mr.e,dkwill,0,2,1
marss,pugwest,mr.e,dkwill,0,-2,-2
bruh,hyperlink,zesty_lemons,combust,0,2,0
mask,the pouch,tkoverkill,dreddboy,0,2,0
el chapo,quesalupa,tony,yucas,1,0,2
pikpocket,electron,phyence,kirbyrocket,0,2,0
doc!!,senketsu,smoof,emmgee,0,2,1
goon,tremendo dude,sporkslinger,vindictator,0,2,0
zae26,yuki,tonyfinale,torchtobin,0,2,0
bruh,hyperlink,jrrd,star99,0,2,0
mask,the pouch,tony,yucas,1,0,2
pikpocket,electron,doc!!,senketsu,1,1,2
goon,tremendo dude,zae26,yuki,0,2,1
seagull joe,c3po,bruh,hyperlink,0,2,1
xmas,zeta,tony,yucas,1,0,2
rango,jda7,doc!!,senketsu,0,2,0
jak,j12,goon,tremendo dude,0,2,0
seagull joe,c3po,tony,yucas,0,2,0
rango,jda7,jak,j12,1,0,2
nickriddle,seibrik,seagull joe,c3po,1,1,2
rich brown,day,jak,j12,1,1,2
seagull joe,c3po,jak,j12,1,0,2
mr.e,dkwill,jak,j12,0,2,0
vioridio,booteking,gretch,tpcool,0,-2,-2
master brawler,chaoslink,doritocrumbman,wal,0,-2,-2
bigvic340,jon carr,jtdynasty,wheresthepepperoni,0,-2,-2
pianoman,packachu,sgtmonkey,captain clutch,1,-2,-2
questy,sonic guy,nieto,pazuzu,1,-2,-2
minimax,mito,firenze,t-rekt,0,-2,-2
vinnie,trela,vioridio,booteking,0,-2,-2
gadiel,real ice,my oso,magna troglodytarum,0,-2,-2
tachyon,ross,master brawler,chaoslink,0,-2,-2
rfang,eldin,bigvic340,jon carr,0,-2,-2
umeki,nietono,sgtmonkey,captain clutch,0,-2,-2
trump,purple guy,dewdadash,chudat,1,-2,-2
falln,tltc,nieto,pazuzu,0,-2,-2
eking,xeon,minimax,mito,0,-2,-2
vinnie,trela,gadiel,real ice,0,-2,-2
tachyon,ross,rfang,eldin,0,-2,-2
umeki,nietono,dewdadash,chudat,0,-2,-2
falln,tltc,eking,xeon,0,-2,-2
vinnie,trela,tachyon,ross,0,-2,-2
umeki,nietono,falln,tltc,0,-2,-2
vinnie,trela,umeki,nietono,0,-2,-2
vinnie,trela,umeki,nietono,0,-2,-2
minimax,mito,gretch,tpcool,0,-2,-2
trump,purple guy,doritocrumbman,wal,0,-2,-2
sgtmonkey,captain clutch,jtdynasty,wheresthepepperoni,0,-2,-2
bigvic340,jon carr,pianoman,packachu,1,-2,-2
my oso,magna troglodytarum,questy,sonic guy,1,-2,-2
vioridio,booteking,firenze,t-rekt,1,-2,-2
minimax,mito,nieto,pazuzu,1,-2,-2
trump,purple guy,sgtmonkey,captain clutch,0,-2,-2
pianoman,packachu,master brawler,chaoslink,0,-2,-2
questy,sonic guy,firenze,t-rekt,1,-2,-2
rfang,eldin,nieto,pazuzu,0,-2,-2
gadiel,real ice,trump,purple guy,0,-2,-2
eking,xeon,pianoman,packachu,0,-2,-2
dewdadash,chudat,firenze,t-rekt,0,-2,-2
rfang,eldin,gadiel,real ice,1,-2,-2
eking,xeon,dewdadash,chudat,0,-2,-2
falln,tltc,gadiel,real ice,0,-2,-2
tachyon,ross,eking,xeon,1,-2,-2
falln,tltc,eking,xeon,1,-2,-2
umeki,nietono,eking,xeon,0,-2,-2
rigatoni robin,tortellini tyler,mb,jr,1,-2,-2
tohfoo,scourge,dogcopter,luxxy,0,0,-1
tohfoo,scourge,carmine,hflash,0,2,0
loony2unes,pickler,kalimboy,osama bill cosby,1,-1,0
shaky,mjg,leo,diabeo,1,-1,0
shaky,mjg,arhungry,snakeee,1,-1,0
child,vikkikitty,carmine,hflash,0,0,-1
child,vikkikitty,leo,diabeo,0,2,0
dogcopter,luxxy,child,vikkikitty,1,-1,0
miloni,king james,child,vikkikitty,0,2,0
miloni,king james,zenyou,jtails,1,0,2
miloni,king james,scatt,neos,1,0,2
miloni,king james,shel,kphadley,0,2,1
void,nakat,professor oats,lordfrieza,0,2,0
void,nakat,mb,jr,0,2,0
void,nakat,zenyou,jtails,1,1,2
void,nakat,scatt,neos,0,2,1
void,nakat,scatt,neos,0,2,0
professor oats,lordfrieza,loony2unes,pickler,0,0,-1
professor oats,lordfrieza,child,vikkikitty,0,2,0
leo heart,poltergust,finalhero,digital gator,1,0,2
leo heart,poltergust,shel,kphadley,1,0,2
mb,jr,louisoneal,doomanator12321,0,2,0
finalhero,digital gator,tohfoo,scourge,1,0,2
leo,diabeo,shel,kphadley,1,0,2
kidg,myran,tohfoo,scourge,0,2,0
kidg,myran,arhungry,snakeee,1,1,2
kidg,myran,imreddy,timeforcheese,0,2,0
zenyou,jtails,void,nakat,0,-2,-2
zenyou,jtails,kidg,myran,0,2,0
zenyou,jtails,kino,snorley,0,2,0
kalimboy,osama bill cosby,mb,jr,1,1,2
kalimboy,osama bill cosby,kino,snorley,1,0,2
arhungry,snakeee,miloni,king james,1,0,2
arhungry,snakeee,mb,jr,0,2,0
arhungry,snakeee,finalhero,digital gator,0,2,0
scatt,neos,tohfoo,scourge,0,2,0
scatt,neos,arhungry,snakeee,0,2,1
scatt,neos,shel,kphadley,0,2,0
imreddy,timeforcheese,rigatoni robin,tortellini tyler,0,2,0
imreddy,timeforcheese,kino,snorley,1,0,2
louisoneal,doomanator12321,imreddy,timeforcheese,1,0,2
shel,kphadley,professor oats,lordfrieza,0,2,0
shel,kphadley,kino,snorley,0,2,0
anti,larry lurr,mew2king,ally,1,0,2
dabuz,hyuga,vinnie,trela,1,0,2
tweek,mr.r,zero,nairo,1,1,2
marss,pugwest,zenyou,jtails,0,2,0
mew2king,ally,vinnie,trela,0,2,1
zero,nairo,marss,pugwest,0,2,0
mew2king,ally,zero,nairo,0,3,2
mew2king,ally,anti,larry lurr,1,2,3
anti,larry lurr,mew2king,ally,1,1,3
pink fresh,remzi,ksev,zinoto,1,0,2
z,vash,umeki,nietono,1,0,2
esam,mvd,jjrockets,starbasedfruit,1,0,2
mr.e,dkwill,void,nakat,0,2,1
zenyou,jtails,ksev,zinoto,1,0,2
tweek,mr.r,umeki,nietono,0,2,0
dabuz,hyuga,jjrockets,starbasedfruit,0,2,1
anti,larry lurr,mr.e,dkwill,0,2,1
ksev,zinoto,tweek,mr.r,1,0,2
dabuz,hyuga,anti,larry lurr,1,0,2
vinnie,trela,tweek,mr.r,1,0,2
marss,pugwest,anti,larry lurr,1,0,2
tweek,mr.r,anti,larry lurr,1,2,3
zero,nairo,anti,larry lurr,1,1,3
