T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
sodrek,long0uw,fiiso,rockyjay,0,0,-1
smothief,dax,spyroul,smrfndorf,1,0,2
gregs,istudying,snasen,bryggiz,0,2,0
vurky,samura1man,vreyvus,maris,0,2,0
skarfelt,eoe,waluigilicious,smashbound,1,-1,0
sodrek,long0uw,spyroul,smrfndorf,0,2,0
fiiso,rockyjay,burd,pon,1,-1,0
smothief,dax,snasen,bryggiz,1,0,2
gregs,istudying,waluigilicious,smashbound,0,2,0
vurky,samura1man,skarfelt,eoe,0,0,-1
sodrek,long0uw,burd,pon,0,0,-1
spyroul,smrfndorf,snasen,bryggiz,1,0,2
fiiso,rockyjay,vreyvus,maris,1,-1,0
smothief,dax,waluigilicious,smashbound,1,0,2
gregs,istudying,vurky,samura1man,0,2,0
sodrek,long0uw,snasen,bryggiz,0,2,0
burd,pon,vreyvus,maris,1,-1,0
spyroul,smrfndorf,waluigilicious,smashbound,0,2,1
fiiso,rockyjay,skarfelt,eoe,1,-1,0
smothief,dax,vurky,samura1man,1,0,2
sodrek,long0uw,vreyvus,maris,0,2,0
snasen,bryggiz,waluigilicious,smashbound,0,2,1
burd,pon,skarfelt,eoe,1,-1,0
spyroul,smrfndorf,vurky,samura1man,1,0,2
fiiso,rockyjay,gregs,istudying,1,-1,0
sodrek,long0uw,waluigilicious,smashbound,0,2,0
vreyvus,maris,skarfelt,eoe,0,0,-1
snasen,bryggiz,vurky,samura1man,1,0,2
burd,pon,gregs,istudying,1,-1,0
fiiso,rockyjay,smothief,dax,1,-1,0
sodrek,long0uw,skarfelt,eoe,0,0,-1
waluigilicious,smashbound,vurky,samura1man,1,0,2
vreyvus,maris,gregs,istudying,1,0,2
burd,pon,smothief,dax,1,-1,0
spyroul,smrfndorf,fiiso,rockyjay,0,0,-1
sodrek,long0uw,vurky,samura1man,0,2,0
skarfelt,eoe,gregs,istudying,1,0,2
vreyvus,maris,smothief,dax,1,-1,0
snasen,bryggiz,fiiso,rockyjay,0,0,-1
burd,pon,spyroul,smrfndorf,1,-1,0
sodrek,long0uw,gregs,istudying,1,1,2
skarfelt,eoe,smothief,dax,1,-1,0
waluigilicious,smashbound,fiiso,rockyjay,0,0,-1
vreyvus,maris,spyroul,smrfndorf,1,-1,0
snasen,bryggiz,burd,pon,0,0,-1
eddy,light,miguel,slime,0,2,0
izaw,smashsk,vurky,samura1man,0,2,0
pikaforlife,s1-14,deo,alias,0,2,0
meru,soreru,loota,heru-d4-k1ng,0,2,1
mvd,esam,hazemoky,lian,0,2,0
paoz,enki,greward,yikarur,1,1,2
gregs,istudying,kesa,marm',0,2,0
max ketchum,sl himura,ho,g~p,1,1,2
luigi player,vyq,m,danzeh,0,2,0
el_bardo,robo~luigi,gardex,whoophee,1,0,2
xzx,ccst,cyanide,cfive,0,2,0
sodrek,long0uw,comical,parablegreg,0,2,0
cyve,mr.r,snasen,bryggiz,0,2,0
yoren,scarhi,scrm,kweet,0,2,1
anaky,j.miller,dune,skippo,0,2,0
clade,easzy,boomuki,cyfersquad,1,1,2
eddy,light,izaw,smashsk,1,0,2
pikaforlife,s1-14,meru,soreru,0,2,0
mvd,esam,greward,yikarur,0,2,0
gregs,istudying,ho,g~p,0,2,0
luigi player,vyq,gardex,whoophee,0,2,0
xzx,ccst,sodrek,long0uw,1,0,2
cyve,mr.r,yoren,scarhi,0,2,0
anaky,j.miller,boomuki,cyfersquad,0,2,0
izaw,smashsk,pikaforlife,s1-14,1,0,2
mvd,esam,gregs,istudying,0,2,0
luigi player,vyq,sodrek,long0uw,0,2,1
cyve,mr.r,anaky,j.miller,0,2,0
pikaforlife,s1-14,mvd,esam,1,1,2
luigi player,vyq,cyve,mr.r,1,0,2
mvd,esam,cyve,mr.r,0,3,0
mvd,esam,cyve,mr.r,0,3,1
miguel,slime,vurky,samura1man,0,2,0
deo,alias,loota,heru-d4-k1ng,0,2,1
hazemoky,lian,paoz,enki,0,2,0
kesa,marm',max ketchum,sl himura,0,2,0
m,danzeh,el_bardo,robo~luigi,1,-2,-2
cyanide,cfive,comical,parablegreg,0,2,0
snasen,bryggiz,scrm,kweet,1,-1,0
dune,skippo,clade,easzy,1,0,2
boomuki,cyfersquad,miguel,slime,0,2,0
yoren,scarhi,deo,alias,0,2,1
xzx,ccst,hazemoky,lian,0,2,0
gardex,whoophee,kesa,marm',1,0,2
