p1,p2,finalPlacement
her0,beast,33
day,james,49
supergirlkels,crazylittlejay,9
megaxovr,drelcario,49
yeah~ok,gonzilla,9
pokey,reklaw,33
gubb,twane,25
k@s,sirhunk,33
nervous,steele,49
craftis,burst,17
blazerkirby,k i r,9
provokedseven,bonerstorm,49
dz,cyberman65,13
blankey,iggimus,49
replay,cafe,33
dre,jazz,65
buckstrom,nandos,49
cpt jack house,zink,33
vinsane,vivid,13
anyone,spam adams,25
bc luck,biddy,5
knotxaklyrite,frogman,49
terrorshard,plokmok,33
c3po,6wx,9
greetest,never,25
zoan,richie business,13
mono,code: e,33
pika,pochilin,49
click,naga,17
jb23,robelious,65
buzz,swanson,25
partytimeaustin,freesk,65
dr. b,crispy will,33
pugwest,marss,4
debbilypoo,mikeybear,65
marthio12a,duckfro,17
awwtiz'em,citruslord,65
triad_prodigy,coolin,17
nietono,umeki,1
grey,arch,17
vaar,cheezyb,33
gale,ditto,49
prof3ssormgw,bang,49
kid prodigy,agni,33
dio,raptor,5
gentle ralts,ghost,65
spaceman,melbo,49
doraz,garb,65
kamisado,avium,33
letsgojungleking,shotz,49
destroyer,dreager1,17
enters,g-off,33
abso,seven,65
treebone,ice,49
x,fredrrs,49
navii,madluk,33
wolfwarrior345,v0s,49
bryce,gt pulse,25
mr.e,adhd,3
void,mew2king,2
vibrants,shyguy,33
redeemer z,vash,13
noel,papabear,25
bigo60,fuqnut,65
summerhays,blazingpasta,17
delibird,blazikus,25
myk,bacon,49
hot kaarl,elmustachio,33
naga's voice,noe3,7
petemctee,griffin,17
lag chaos,tokyo,7
masterd,nightmare,33
samn,the brometheus,65
swoosh,godtouch,25
