p1,p2,finalPlacement
gorullwhidah,73
jesterosgiannis,57
mvdesam,1
el_bardorobo~luigi,7
evilizedjenzo,49
traxotek,33
ayoublavlis,33
lootaheru-d4-k1ng,25
el_pitiklajoseluisasdfg,41
snasenbryggiz,25
gardexwhoophee,17
yojimbolufos,57
waluigilicioussmashbound,41
eddylight,9
cladeeaszy,17
makecwhasslightyear,65
anakyj.miller,9
adomsilentgodot,49
afro smashbulby,49
greengoblin (gg)bambi,65
polioak,33
whinylogisticuz,65
hog~p,17
fiisorockyjay,81
pikaforlifes1-14,5
smothiefdax,49
bowiesilentdoom,41
chardbollefar,49
merusoreru,13
8vaschilt,41
cyvemr.r,2
hjältmanc-h,57
ansou9volt,65
izawsmashsk,7
vurkysamura1man,25
gregsistudying,5
ninpowadeff,65
miguelslime,17
buspappanknug,49
yeeflamjam,49
yorenscarhi,9
duneskippo,25
patteraggebe,73
zudenkastarkorn,41
wittmarchloveandtolerance,57
vreyvusmaris,57
orchardsak,81
cyanidecfive,17
duffcityshadowclaw,57
hazemokylian,17
forrejebu,41
anderpilot,57
kanaribirdjibbmil,41
fluffysheepspikamaxi,41
boomukicyfersquad,13
b~littleair,73
comicalparablegreg,25
xzxccst,13
bonushatpride,73
luigi playervyq,4
nivestaitsu,57
hattiemicklebarrow,73
lordofrockssaigono,81
burdpon,73
ulfriksto,49
grewardyikarur,13
deoalias,17
sodreklong0uw,3
queenpq-formeln,65
spyroulsmrfndorf,33
skarfelteoe,65
mdanzeh,25
max ketchumsl himura,25
rulesmp2,73
scrmkweet,17
wilksy15hawxx is rippin,33
comboxwarheart,33
paozenki,25
kesamarm',9
plastic poptartkibzu~,33
gijsbeernesstea,33
calmatylackluster,65
karvaperse666rush,73
