T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
tm87,oatmeal,rawk,pankeiki,1,0,2
ruffgun,bill nye,epm,element_demon,1,0,2
ebnks,reggie?,slmko,rev^,0,2,0
vinsane,dragonhat,travisty,ragtime,0,2,0
botch,youtroid,duckfro,awildchocobro,0,2,0
chrismus,)(d,momo,newt:d,1,0,2
inayellowflash,edwin,tilefloor,dsf,0,2,0
crownlessking,insomniac,sync,jakal,1,0,2
black yoshi,squerk,cheezyb,vaar,0,2,0
zecoluster,zucchini,squidboy,ten,1,0,2
undecided,juice,pokevsim,battlesnail,0,2,0
swanson,buzz,dr.pr.tilt,furguzo,0,2,1
crowdingmovie,spirunk,ruffian,scamper,0,2,0
lexya,e-tanked,kibo,prof3ssormgw,1,0,2
gonzilla,eazy,vayseth,theagedone,0,2,0
bow,frozen,knightmare,ph33r,0,2,0
nelvin,pelca,sam0s,babyjay,0,2,0
lag chaos,tokyo,nights,vale,0,2,1
lingling,xion,andy,rutsky,0,2,0
cliffdog,dio,np octopusman,stocktaker69,1,0,2
hero,cagt,naga,click,0,2,1
godfident,air gordon,asap angel,jaymillex,0,2,1
maro,g,ace,booski,0,2,0
lou,gutts,extra-o,q,0,2,1
scot!,glare,pheno,navy,0,2,0
xorn,biddy,protom,nbd-hurt,0,2,0
lordxav1er,superscope,playz,neko,1,0,2
th3italianpanda,thebombbimbi,code: e,mono,0,2,1
squirrely,nbd~x,clamhat,ghost note,0,2,0
steezy,franch1ze,rawk,pankeiki,1,0,2
primefighter,grunk,epm,element_demon,0,2,1
deaco,noobcube,ebnks,reggie?,1,0,2
uno,bc luck,scobra,reklaw,0,2,0
deli,autumn,vinsane,dragonhat,0,2,1
jazz,sxips,botch,youtroid,0,2,0
gohan,cyberman65,momo,newt:d,0,2,0
dugan,g-rain,linguine,shady,0,0,-1
fabled,arhungry,inayellowflash,edwin,1,1,2
t.i.m,kbolt,sync,jakal,1,0,2
wraith,unknown,black yoshi,squerk,1,0,2
the real mr. m,earthboundy,pokey,quips,0,2,0
vivid,corona17,squidboy,ten,0,2,0
waldo,sova unknown,undecided,juice,0,2,0
subzero450,delta,swanson,buzz,0,2,0
crowdingmovie,spirunk,kibo,prof3ssormgw,0,2,0
gonzilla,eazy,bow,frozen,1,0,2
nelvin,pelca,lag chaos,tokyo,0,2,1
lingling,xion,np octopusman,stocktaker69,0,2,0
hero,cagt,godfident,air gordon,0,2,1
maro,g,lou,gutts,1,0,2
scot!,glare,xorn,biddy,1,0,2
playz,neko,th3italianpanda,thebombbimbi,0,2,0
squirrely,nbd~x,rawk,pankeiki,1,0,2
primefighter,grunk,ebnks,reggie?,0,2,0
uno,bc luck,deli,autumn,0,2,0
jazz,sxips,gohan,cyberman65,1,1,2
dugan,g-rain,inayellowflash,edwin,0,2,0
sync,jakal,black yoshi,squerk,1,0,2
the real mr. m,earthboundy,vivid,corona17,1,0,2
waldo,sova unknown,subzero450,delta,0,2,0
vom,riz,crowdingmovie,spirunk,0,2,1
king777,bear,bow,frozen,1,0,2
max ketchum,angel cortes,nelvin,pelca,0,2,1
coach pun,sparky #25,lingling,xion,1,1,2
ralphie,mr.chef,hero,cagt,0,2,1
soan,dz,lou,gutts,0,2,0
ntarps,raffi-x,xorn,biddy,0,2,0
kogarasuma,chavo,playz,neko,0,2,1
vash,zoan,rawk,pankeiki,1,0,2
captainzack,pink fresh,primefighter,grunk,0,2,1
remzi,ash23,uno,bc luck,1,1,2
stewy,loe1,gohan,cyberman65,0,2,1
jebb,ice,dugan,g-rain,0,2,1
redeemer z,ssbmatt,black yoshi,squerk,1,0,2
blazingpasta,summerhays,vivid,corona17,1,1,2
freelancer leo,spt,waldo,sova unknown,1,0,2
vom,riz,bow,frozen,1,0,2
max ketchum,angel cortes,lingling,xion,0,2,1
ralphie,mr.chef,soan,dz,0,2,1
ntarps,raffi-x,kogarasuma,chavo,1,0,2
rawk,pankeiki,captainzack,pink fresh,1,0,2
uno,bc luck,stewy,loe1,1,1,2
jebb,ice,black yoshi,squerk,1,1,2
vivid,corona17,waldo,sova unknown,0,2,1
bryce,bonk!,bow,frozen,1,1,2
james,the great gonzales,max ketchum,angel cortes,1,0,2
koolaid,mattyg,ralphie,mr.chef,0,2,0
light,don,kogarasuma,chavo,0,2,0
!blue!,ninja,captainzack,pink fresh,1,0,2
dkwill,raptor,stewy,loe1,0,2,1
wadi,dark wizzy,black yoshi,squerk,0,2,0
salem,chibo,vivid,corona17,1,1,2
bow,frozen,max ketchum,angel cortes,0,2,0
koolaid,mattyg,light,don,0,2,0
captainzack,pink fresh,dkwill,raptor,0,2,0
wadi,dark wizzy,vivid,corona17,0,2,0
false,tweek,bow,frozen,0,2,0
dabuz,zinoto,koolaid,mattyg,1,1,2
samsora,ryuga,captainzack,pink fresh,0,2,0
lof hackoru,6wx,wadi,dark wizzy,1,0,2
false,tweek,koolaid,mattyg,0,2,0
samsora,ryuga,wadi,dark wizzy,1,1,2
gomamugitya,nakat,false,tweek,1,1,2
pugwest,marss,wadi,dark wizzy,1,1,2
false,tweek,wadi,dark wizzy,0,2,1
mr.e,mkleo,false,tweek,0,3,0
